# number of spin vectors:      29
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      2  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      3  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      4  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      5  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      6  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      7  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      8  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      9  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     10  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     11  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     12  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     13  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     14  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     15  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     16  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     17  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     18  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     19  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     20  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     21  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     22  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     23  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     24  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     25  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     26  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     27  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     28  0.0000000E+00  0.1000000E+01  0.6123234E-16

       100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       100      1  0.4803128E-16  0.1000000E+01 -0.3797888E-16
       100      2  0.3461856E-06  0.1000000E+01 -0.1541361E-04
       100      3  0.2539687E-06  0.1000000E+01 -0.1156669E-04
       100      4  0.1655315E-06  0.1000000E+01 -0.7715399E-05
       100      5  0.8087499E-07  0.1000000E+01 -0.3859809E-05
       100      6  0.4803128E-16  0.1000000E+01 -0.3797888E-16
       100      7 -0.7709275E-07  0.1000000E+01  0.3863949E-05
       100      8 -0.1504027E-06  0.1000000E+01  0.7731955E-05
       100      9 -0.2199293E-06  0.1000000E+01  0.1160393E-04
       100     10 -0.2856723E-06  0.1000000E+01  0.1547979E-04
       100     11  0.2557532E-05  0.1000000E+01  0.1611010E-03
       100     12  0.1931555E-05  0.1000000E+01  0.1209317E-03
       100     13  0.1296629E-05  0.1000000E+01  0.8067251E-04
       100     14  0.6527728E-06  0.1000000E+01  0.4035234E-04
       100     15  0.4803128E-16  0.1000000E+01 -0.3797888E-16
       100     16 -0.6616830E-06  0.1000000E+01 -0.4035578E-04
       100     17 -0.1332275E-05  0.1000000E+01 -0.8068624E-04
       100     18 -0.2011778E-05  0.1000000E+01 -0.1209626E-03
       100     19 -0.2700200E-05  0.1000000E+01 -0.1611559E-03
       100     20  0.1384076E-04  0.1000000E+01  0.9052283E-05
       100     21  0.1038061E-04  0.1000000E+01  0.6803574E-05
       100     22  0.6920420E-05  0.1000000E+01  0.4540752E-05
       100     23  0.3460216E-05  0.1000000E+01  0.2270592E-05
       100     24  0.4803128E-16  0.1000000E+01 -0.3797888E-16
       100     25 -0.3460232E-05  0.1000000E+01 -0.2264024E-05
       100     26 -0.6920491E-05  0.1000000E+01 -0.4514424E-05
       100     27 -0.1038080E-04  0.1000000E+01 -0.6744145E-05
       100     28 -0.1384117E-04  0.1000000E+01 -0.8946208E-05

       200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       200      1 -0.5958206E-16  0.1000000E+01 -0.1412013E-16
       200      2 -0.4563800E-06  0.1000000E+01  0.3038717E-05
       200      3 -0.3475186E-06  0.1000000E+01  0.2284773E-05
       200      4 -0.2351938E-06  0.1000000E+01  0.1529081E-05
       200      5 -0.1193671E-06  0.1000000E+01  0.7685274E-06
       200      6 -0.5958206E-16  0.1000000E+01 -0.1412013E-16
       200      7  0.1229454E-06  0.1000000E+01 -0.7796157E-06
       200      8  0.2495068E-06  0.1000000E+01 -0.1573432E-05
       200      9  0.3797217E-06  0.1000000E+01 -0.2384558E-05
       200     10  0.5136271E-06  0.1000000E+01 -0.3216095E-05
       200     11 -0.3477975E-05  0.1000000E+01 -0.1873140E-03
       200     12 -0.2599068E-05  0.1000000E+01 -0.1404153E-03
       200     13 -0.1726745E-05  0.1000000E+01 -0.9358493E-04
       200     14 -0.8605440E-06  0.1000000E+01 -0.4679072E-04
       200     15 -0.5958206E-16  0.1000000E+01 -0.1412013E-16
       200     16  0.8553606E-06  0.1000000E+01  0.4682025E-04
       200     17  0.1706016E-05  0.1000000E+01  0.9370299E-04
       200     18  0.2552446E-05  0.1000000E+01  0.1406808E-03
       200     19  0.3395135E-05  0.1000000E+01  0.1877853E-03
       200     20  0.6798978E-05  0.1000000E+01 -0.9729538E-05
       200     21  0.5095462E-05  0.1000000E+01 -0.7234874E-05
       200     22  0.3394471E-05  0.1000000E+01 -0.4770273E-05
       200     23  0.1695981E-05  0.1000000E+01 -0.2353570E-05
       200     24 -0.5958206E-16  0.1000000E+01 -0.1412013E-16
       200     25 -0.1693443E-05  0.1000000E+01  0.2278401E-05
       200     26 -0.3384300E-05  0.1000000E+01  0.4473373E-05
       200     27 -0.5072515E-05  0.1000000E+01  0.6580986E-05
       200     28 -0.6758026E-05  0.1000000E+01  0.8602125E-05

       300      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       300      1  0.2587934E-16  0.1000000E+01  0.5549468E-16
       300      2  0.3428048E-06  0.1000000E+01  0.2890388E-04
       300      3  0.2561950E-06  0.1000000E+01  0.2169076E-04
       300      4  0.1702514E-06  0.1000000E+01  0.1446582E-04
       300      5  0.8488311E-07  0.1000000E+01  0.7233940E-05
       300      6  0.2587934E-16  0.1000000E+01  0.5549468E-16
       300      7 -0.8448780E-07  0.1000000E+01 -0.7231100E-05
       300      8 -0.1686697E-06  0.1000000E+01 -0.1445444E-04
       300      9 -0.2526345E-06  0.1000000E+01 -0.2166510E-04
       300     10 -0.3364708E-06  0.1000000E+01 -0.2885810E-04
       300     11  0.1791853E-05  0.1000000E+01  0.6390631E-04
       300     12  0.1333633E-05  0.1000000E+01  0.4738712E-04
       300     13  0.8829317E-06  0.1000000E+01  0.3132841E-04
