# number of spin vectors:      29
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      2  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      3  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      4  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      5  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      6  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      7  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      8  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      9  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     10  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     11  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     12  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     13  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     14  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     15  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     16  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     17  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     18  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     19  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     20  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     21  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     22  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     23  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     24  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     25  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     26  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     27  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     28  0.0000000E+00  0.1000000E+01  0.6123234E-16

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1 -0.4609562E-16  0.1000000E+01 -0.4030625E-16
        10      2  0.2277002E-07  0.1000000E+01 -0.6033810E-04
        10      3  0.1399000E-07  0.1000000E+01 -0.4526000E-04
        10      4  0.7268114E-08  0.1000000E+01 -0.3017763E-04
        10      5  0.2604707E-08  0.1000000E+01 -0.1509097E-04
        10      6 -0.4609562E-16  0.1000000E+01 -0.4030625E-16
        10      7 -0.5459213E-09  0.1000000E+01  0.1509532E-04
        10      8  0.9668896E-09  0.1000000E+01  0.3019500E-04
        10      9  0.4538236E-08  0.1000000E+01  0.4529907E-04
        10     10  0.1016777E-07  0.1000000E+01  0.6040754E-04
        10     11 -0.1661774E-05  0.1000000E+01  0.8091105E-04
        10     12 -0.1247337E-05  0.1000000E+01  0.6067827E-04
        10     13 -0.8321681E-06  0.1000000E+01  0.4044949E-04
        10     14 -0.4163598E-06  0.1000000E+01  0.2022372E-04
        10     15 -0.4609562E-16  0.1000000E+01 -0.4030625E-16
        10     16  0.4168257E-06  0.1000000E+01 -0.2022265E-04
        10     17  0.8340346E-06  0.1000000E+01 -0.4044519E-04
        10     18  0.1251547E-05  0.1000000E+01 -0.6066859E-04
        10     19  0.1669285E-05  0.1000000E+01 -0.8089379E-04
        10     20  0.1544844E-04  0.1000000E+01 -0.5588114E-05
        10     21  0.1158470E-04  0.1000000E+01 -0.4188451E-05
        10     22  0.7722049E-05  0.1000000E+01 -0.2790787E-05
        10     23  0.3860484E-05  0.1000000E+01 -0.1394759E-05
        10     24 -0.4609562E-16  0.1000000E+01 -0.4030625E-16
        10     25 -0.3859407E-05  0.1000000E+01  0.1393856E-05
        10     26 -0.7717743E-05  0.1000000E+01  0.2787178E-05
        10     27 -0.1157501E-04  0.1000000E+01  0.4180332E-05
        10     28 -0.1543122E-04  0.1000000E+01  0.5573686E-05

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1  0.6068497E-16  0.1000000E+01 -0.8169088E-17
        20      2 -0.2642200E-06  0.1000000E+01  0.6264644E-05
        20      3 -0.1965767E-06  0.1000000E+01  0.4722509E-05
        20      4 -0.1299905E-06  0.1000000E+01  0.3164951E-05
        20      5 -0.6446416E-07  0.1000000E+01  0.1591079E-05
        20      6  0.6068497E-16  0.1000000E+01 -0.8169088E-17
        20      7  0.6339999E-07  0.1000000E+01 -0.1609178E-05
        20      8  0.1257342E-06  0.1000000E+01 -0.3237349E-05
        20      9  0.1870014E-06  0.1000000E+01 -0.4885407E-05
        20     10  0.2472007E-06  0.1000000E+01 -0.6554246E-05
        20     11  0.1873117E-05  0.1000000E+01  0.6492411E-04
        20     12  0.1389168E-05  0.1000000E+01  0.4870537E-04
        20     13  0.9156840E-06  0.1000000E+01  0.3247697E-04
        20     14  0.4526373E-06  0.1000000E+01  0.1624111E-04
        20     15  0.6068497E-16  0.1000000E+01 -0.8169088E-17
        20     16 -0.4422553E-06  0.1000000E+01 -0.1624410E-04
        20     17 -0.8741557E-06  0.1000000E+01 -0.3248890E-04
        20     18 -0.1295728E-05  0.1000000E+01 -0.4873211E-04
        20     19 -0.1706999E-05  0.1000000E+01 -0.6497137E-04
        20     20  0.1050503E-04  0.1000000E+01  0.1032502E-04
        20     21  0.7878249E-05  0.1000000E+01  0.7745331E-05
        20     22  0.5251819E-05  0.1000000E+01  0.5164976E-05
        20     23  0.2625737E-05  0.1000000E+01  0.2583380E-05
        20     24  0.6068497E-16  0.1000000E+01 -0.8169088E-17
        20     25 -0.2625395E-05  0.1000000E+01 -0.2585667E-05
        20     26 -0.5250450E-05  0.1000000E+01 -0.5174086E-05
        20     27 -0.7875168E-05  0.1000000E+01 -0.7765676E-05
        20     28 -0.1049955E-04  0.1000000E+01 -0.1036081E-04

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1 -0.3379626E-16  0.1000000E+01  0.5106087E-16
        30      2  0.4002028E-06  0.1000000E+01  0.2313746E-04
        30      3  0.2995956E-06  0.1000000E+01  0.1734580E-04
        30      4  0.1993563E-06  0.1000000E+01  0.1155883E-04
        30      5  0.9948968E-07  0.1000000E+01  0.5776803E-05
        30      6 -0.3379626E-16  0.1000000E+01  0.5106087E-16
        30      7 -0.9910861E-07  0.1000000E+01 -0.5771313E-05
        30      8 -0.1978323E-06  0.1000000E+01 -0.1153687E-04
        30      9 -0.2961676E-06  0.1000000E+01 -0.1729639E-04
        30     10 -0.3941112E-06  0.1000000E+01 -0.2304960E-04
        30     11 -0.2430476E-06  0.1000000E+01 -0.1592329E-03
        30     12 -0.1824986E-06  0.1000000E+01 -0.1193580E-03
