# number of spin vectors:      29
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      2  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      3  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      4  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      5  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      6  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      7  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      8  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      9  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     10  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     11  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     12  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     13  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     14  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     15  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     16  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     17  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     18  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     19  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     20  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     21  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     22  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     23  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     24  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     25  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     26  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     27  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     28  0.0000000E+00  0.1000000E+01  0.6123234E-16

       100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       100      1  0.4803128E-16  0.1000000E+01 -0.3797888E-16
       100      2  0.3426309E-06  0.1000000E+01 -0.1543532E-04
       100      3  0.2519720E-06  0.1000000E+01 -0.1158092E-04
       100      4  0.1646452E-06  0.1000000E+01 -0.7722613E-05
       100      5  0.8065365E-07  0.1000000E+01 -0.3861835E-05
       100      6  0.4803128E-16  0.1000000E+01 -0.3797888E-16
       100      7 -0.7731372E-07  0.1000000E+01  0.3861480E-05
       100      8 -0.1512861E-06  0.1000000E+01  0.7721193E-05
       100      9 -0.2219162E-06  0.1000000E+01  0.1157773E-04
       100     10 -0.2892038E-06  0.1000000E+01  0.1542968E-04
       100     11  0.2717792E-05  0.1000000E+01  0.1610508E-03
       100     12  0.2021519E-05  0.1000000E+01  0.1208967E-03
       100     13  0.1336531E-05  0.1000000E+01  0.8065399E-04
       100     14  0.6627279E-06  0.1000000E+01  0.4034698E-04
       100     15  0.4803128E-16  0.1000000E+01 -0.3797888E-16
       100     16 -0.6517693E-06  0.1000000E+01 -0.4036259E-04
       100     17 -0.1292703E-05  0.1000000E+01 -0.8071639E-04
       100     18 -0.1922932E-05  0.1000000E+01 -0.1210369E-03
       100     19 -0.2542593E-05  0.1000000E+01 -0.1612995E-03
       100     20  0.1383765E-04  0.1000000E+01  0.8934481E-05
       100     21  0.1037900E-04  0.1000000E+01  0.6757539E-05
       100     22  0.6919764E-05  0.1000000E+01  0.4529609E-05
       100     23  0.3460065E-05  0.1000000E+01  0.2270176E-05
       100     24  0.4803128E-16  0.1000000E+01 -0.3797888E-16
       100     25 -0.3460364E-05  0.1000000E+01 -0.2259744E-05
       100     26 -0.6920989E-05  0.1000000E+01 -0.4488335E-05
       100     27 -0.1038187E-04  0.1000000E+01 -0.6666360E-05
       100     28 -0.1384302E-04  0.1000000E+01 -0.8776537E-05

       200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       200      1 -0.5958206E-16  0.1000000E+01 -0.1412013E-16
       200      2 -0.4543696E-06  0.1000000E+01  0.3016298E-05
       200      3 -0.3464232E-06  0.1000000E+01  0.2269823E-05
       200      4 -0.2347226E-06  0.1000000E+01  0.1521398E-05
       200      5 -0.1192532E-06  0.1000000E+01  0.7663479E-06
       200      6 -0.5958206E-16  0.1000000E+01 -0.1412013E-16
       200      7  0.1230515E-06  0.1000000E+01 -0.7823092E-06
       200      8  0.2499160E-06  0.1000000E+01 -0.1585224E-05
       200      9  0.3806079E-06  0.1000000E+01 -0.2413361E-05
       200     10  0.5151415E-06  0.1000000E+01 -0.3271298E-05
       200     11 -0.3345862E-05  0.1000000E+01 -0.1878802E-03
       200     12 -0.2524532E-05  0.1000000E+01 -0.1407302E-03
       200     13 -0.1693521E-05  0.1000000E+01 -0.9372316E-04
       200     14 -0.8522148E-06  0.1000000E+01 -0.4682482E-04
       200     15 -0.5958206E-16  0.1000000E+01 -0.1412013E-16
       200     16  0.8637346E-06  0.1000000E+01  0.4678720E-04
       200     17  0.1739597E-05  0.1000000E+01  0.9357305E-04
       200     18  0.2628189E-05  0.1000000E+01  0.1403938E-03
       200     19  0.3530110E-05  0.1000000E+01  0.1872855E-03
       200     20  0.6794129E-05  0.1000000E+01 -0.9826056E-05
       200     21  0.5092475E-05  0.1000000E+01 -0.7349407E-05
       200     22  0.3393068E-05  0.1000000E+01 -0.4845633E-05
       200     23  0.1695622E-05  0.1000000E+01 -0.2377635E-05
       200     24 -0.5958206E-16  0.1000000E+01 -0.1412013E-16
       200     25 -0.1693789E-05  0.1000000E+01  0.2247534E-05
       200     26 -0.3385604E-05  0.1000000E+01  0.4344903E-05
       200     27 -0.5075199E-05  0.1000000E+01  0.6294343E-05
       200     28 -0.6762263E-05  0.1000000E+01  0.8120537E-05

       300      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       300      1  0.2587934E-16  0.1000000E+01  0.5549468E-16
       300      2  0.3474196E-06  0.1000000E+01  0.2885527E-04
       300      3  0.2588409E-06  0.1000000E+01  0.2167347E-04
       300      4  0.1714497E-06  0.1000000E+01  0.1446260E-04
       300      5  0.8518835E-07  0.1000000E+01  0.7234246E-05
       300      6  0.2587934E-16  0.1000000E+01  0.5549468E-16
       300      7 -0.8417115E-07  0.1000000E+01 -0.7228578E-05
       300      8 -0.1673800E-06  0.1000000E+01 -0.1443994E-04
       300      9 -0.2496805E-06  0.1000000E+01 -0.2162256E-04
       300     10 -0.3311256E-06  0.1000000E+01 -0.2876493E-04
       300     11  0.1800998E-05  0.1000000E+01  0.6444105E-04
       300     12  0.1338521E-05  0.1000000E+01  0.4766011E-04
       300     13  0.8850039E-06  0.1000000E+01  0.3143702E-04
