# number of spin vectors:      29
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      2  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      3  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      4  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      5  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      6  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      7  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      8  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      9  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     10  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     11  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     12  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     13  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     14  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     15  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     16  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     17  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     18  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     19  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     20  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     21  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     22  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     23  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     24  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     25  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     26  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     27  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     28  0.0000000E+00  0.1000000E+01  0.6123234E-16

       100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       100      1  0.4803128E-16  0.1000000E+01 -0.3797888E-16
       100      2  0.3300745E-06  0.1000000E+01 -0.1545143E-04
       100      3  0.2449049E-06  0.1000000E+01 -0.1158786E-04
       100      4  0.1615026E-06  0.1000000E+01 -0.7724759E-05
       100      5  0.7986765E-07  0.1000000E+01 -0.3862137E-05
       100      6  0.4803128E-16  0.1000000E+01 -0.3797888E-16
       100      7 -0.7810030E-07  0.1000000E+01  0.3861646E-05
       100      8 -0.1544332E-06  0.1000000E+01  0.7722794E-05
       100      9 -0.2289988E-06  0.1000000E+01  0.1158344E-04
       100     10 -0.3017970E-06  0.1000000E+01  0.1544357E-04
       100     11  0.2569342E-05  0.1000000E+01  0.1614664E-03
       100     12  0.1938176E-05  0.1000000E+01  0.1210933E-03
       100     13  0.1299564E-05  0.1000000E+01  0.8072483E-04
       100     14  0.6535052E-06  0.1000000E+01  0.4036055E-04
       100     15  0.4803128E-16  0.1000000E+01 -0.3797888E-16
       100     16 -0.6609521E-06  0.1000000E+01 -0.4035730E-04
       100     17 -0.1329351E-05  0.1000000E+01 -0.8071181E-04
       100     18 -0.2005198E-05  0.1000000E+01 -0.1210640E-03
       100     19 -0.2688493E-05  0.1000000E+01 -0.1614144E-03
       100     20  0.1383278E-04  0.1000000E+01  0.9072858E-05
       100     21  0.1037610E-04  0.1000000E+01  0.6805125E-05
       100     22  0.6918417E-05  0.1000000E+01  0.4536946E-05
       100     23  0.3459716E-05  0.1000000E+01  0.2268508E-05
       100     24  0.4803128E-16  0.1000000E+01 -0.3797888E-16
       100     25 -0.3460730E-05  0.1000000E+01 -0.2268391E-05
       100     26 -0.6922476E-05  0.1000000E+01 -0.4536475E-05
       100     27 -0.1038524E-04  0.1000000E+01 -0.6804064E-05
       100     28 -0.1384901E-04  0.1000000E+01 -0.9070969E-05

       200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       200      1 -0.5958206E-16  0.1000000E+01 -0.1412013E-16
       200      2 -0.4746887E-06  0.1000000E+01  0.3064601E-05
       200      3 -0.3578757E-06  0.1000000E+01  0.2304055E-05
       200      4 -0.2398229E-06  0.1000000E+01  0.1539749E-05
       200      5 -0.1205308E-06  0.1000000E+01  0.7717194E-06
       200      6 -0.5958206E-16  0.1000000E+01 -0.1412013E-16
       200      7  0.1217689E-06  0.1000000E+01 -0.7753743E-06
       200      8  0.2447752E-06  0.1000000E+01 -0.1554369E-05
       200      9  0.3690185E-06  0.1000000E+01 -0.2336949E-05
       200     10  0.4944982E-06  0.1000000E+01 -0.3123080E-05
       200     11 -0.3473845E-05  0.1000000E+01 -0.1870618E-03
       200     12 -0.2597456E-05  0.1000000E+01 -0.1403229E-03
       200     13 -0.1726346E-05  0.1000000E+01 -0.9356603E-04
       200     14 -0.8605245E-06  0.1000000E+01 -0.4679157E-04
       200     15 -0.5958206E-16  0.1000000E+01 -0.1412013E-16
       200     16  0.8552187E-06  0.1000000E+01  0.4680824E-04
       200     17  0.1705123E-05  0.1000000E+01  0.9363271E-04
       200     18  0.2549705E-05  0.1000000E+01  0.1404730E-03
       200     19  0.3388954E-05  0.1000000E+01  0.1873286E-03
       200     20  0.6799678E-05  0.1000000E+01 -0.9165180E-05
       200     21  0.5095823E-05  0.1000000E+01 -0.6894065E-05
       200     22  0.3394607E-05  0.1000000E+01 -0.4609334E-05
       200     23  0.1696007E-05  0.1000000E+01 -0.2311226E-05
       200     24 -0.5958206E-16  0.1000000E+01 -0.1412013E-16
       200     25 -0.1693437E-05  0.1000000E+01  0.2324071E-05
       200     26 -0.3384328E-05  0.1000000E+01  0.4660697E-05
       200     27 -0.5072696E-05  0.1000000E+01  0.7009571E-05
       200     28 -0.6758564E-05  0.1000000E+01  0.9370370E-05

       300      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       300      1  0.2587934E-16  0.1000000E+01  0.5549468E-16
       300      2  0.3381736E-06  0.1000000E+01  0.2890810E-04
       300      3  0.2537273E-06  0.1000000E+01  0.2168577E-04
       300      4  0.1692155E-06  0.1000000E+01  0.1446033E-04
       300      5  0.8463933E-07  0.1000000E+01  0.7231747E-05
       300      6  0.2587934E-16  0.1000000E+01  0.5549468E-16
       300      7 -0.8470132E-07  0.1000000E+01 -0.7234936E-05
       300      8 -0.1694634E-06  0.1000000E+01 -0.1447308E-04
       300      9 -0.2542851E-06  0.1000000E+01 -0.2171447E-04
       300     10 -0.3391653E-06  0.1000000E+01 -0.2895911E-04
       300     11  0.1743704E-05  0.1000000E+01  0.6230622E-04
       300     12  0.1308106E-05  0.1000000E+01  0.4671220E-04
       300     13  0.8722804E-06  0.1000000E+01  0.3112868E-04
