# number of spin vectors:      29
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      2  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      3  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      4  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      5  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      6  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      7  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      8  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0      9  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     10  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     11  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     12  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     13  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     14  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     15  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     16  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     17  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     18  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     19  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     20  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     21  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     22  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     23  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     24  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     25  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     26  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     27  0.0000000E+00  0.1000000E+01  0.6123234E-16
         0     28  0.0000000E+00  0.1000000E+01  0.6123234E-16

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1 -0.4609562E-16  0.1000000E+01 -0.4030625E-16
        10      2  0.1111970E-07  0.1000000E+01 -0.6041933E-04
        10      3  0.7436107E-08  0.1000000E+01 -0.4530574E-04
        10      4  0.4355054E-08  0.1000000E+01 -0.3019798E-04
        10      5  0.1876398E-08  0.1000000E+01 -0.1509607E-04
        10      6 -0.4609562E-16  0.1000000E+01 -0.4030625E-16
        10      7 -0.1274283E-08  0.1000000E+01  0.1509021E-04
        10      8 -0.1946592E-08  0.1000000E+01  0.3017457E-04
        10      9 -0.2017070E-08  0.1000000E+01  0.4525306E-04
        10     10 -0.1485862E-08  0.1000000E+01  0.6032569E-04
        10     11 -0.1685564E-05  0.1000000E+01  0.8111376E-04
        10     12 -0.1260588E-05  0.1000000E+01  0.6079370E-04
        10     13 -0.8380009E-06  0.1000000E+01  0.4050142E-04
        10     14 -0.4178040E-06  0.1000000E+01  0.2023686E-04
        10     15 -0.4609562E-16  0.1000000E+01 -0.4030625E-16
        10     16  0.4154088E-06  0.1000000E+01 -0.2020920E-04
        10     17  0.8284200E-06  0.1000000E+01 -0.4039078E-04
        10     18  0.1239031E-05  0.1000000E+01 -0.6054478E-04
        10     19  0.1647240E-05  0.1000000E+01 -0.8067122E-04
        10     20  0.1544255E-04  0.1000000E+01 -0.5576497E-05
        10     21  0.1158140E-04  0.1000000E+01 -0.4182459E-05
        10     22  0.7720584E-05  0.1000000E+01 -0.2788366E-05
        10     23  0.3860118E-05  0.1000000E+01 -0.1394214E-05
        10     24 -0.4609562E-16  0.1000000E+01 -0.4030625E-16
        10     25 -0.3859771E-05  0.1000000E+01  0.1394280E-05
        10     26 -0.7719196E-05  0.1000000E+01  0.2788630E-05
        10     27 -0.1157827E-04  0.1000000E+01  0.4183053E-05
        10     28 -0.1543700E-04  0.1000000E+01  0.5577553E-05

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1  0.6068497E-16  0.1000000E+01 -0.8169088E-17
        20      2 -0.2605631E-06  0.1000000E+01  0.6435636E-05
        20      3 -0.1945158E-06  0.1000000E+01  0.4820053E-05
        20      4 -0.1290729E-06  0.1000000E+01  0.3208909E-05
        20      5 -0.6423440E-07  0.1000000E+01  0.1602220E-05
        20      6  0.6068497E-16  0.1000000E+01 -0.8169088E-17
        20      7  0.6363039E-07  0.1000000E+01 -0.1597734E-05
        20      8  0.1266569E-06  0.1000000E+01 -0.3190968E-05
        20      9  0.1890798E-06  0.1000000E+01 -0.4779687E-05
        20     10  0.2508991E-06  0.1000000E+01 -0.6363874E-05
        20     11  0.1822897E-05  0.1000000E+01  0.6480853E-04
        20     12  0.1360962E-05  0.1000000E+01  0.4863702E-04
        20     13  0.9031673E-06  0.1000000E+01  0.3244510E-04
        20     14  0.4495129E-06  0.1000000E+01  0.1623276E-04
        20     15  0.6068497E-16  0.1000000E+01 -0.8169088E-17
        20     16 -0.4453703E-06  0.1000000E+01 -0.1625320E-04
        20     17 -0.8865970E-06  0.1000000E+01 -0.3252685E-04
        20     18 -0.1323679E-05  0.1000000E+01 -0.4882095E-04
        20     19 -0.1756616E-05  0.1000000E+01 -0.6513553E-04
        20     20  0.1050111E-04  0.1000000E+01  0.1034006E-04
        20     21  0.7876046E-05  0.1000000E+01  0.7754614E-05
        20     22  0.5250842E-05  0.1000000E+01  0.5169455E-05
        20     23  0.2625493E-05  0.1000000E+01  0.2584585E-05
        20     24  0.6068497E-16  0.1000000E+01 -0.8169088E-17
        20     25 -0.2625638E-05  0.1000000E+01 -0.2584301E-05
        20     26 -0.5251420E-05  0.1000000E+01 -0.5168321E-05
        20     27 -0.7877346E-05  0.1000000E+01 -0.7752062E-05
        20     28 -0.1050342E-04  0.1000000E+01 -0.1033553E-04

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1 -0.3379626E-16  0.1000000E+01  0.5106087E-16
        30      2  0.3957217E-06  0.1000000E+01  0.2311421E-04
        30      3  0.2970679E-06  0.1000000E+01  0.1733232E-04
        30      4  0.1982299E-06  0.1000000E+01  0.1155265E-04
        30      5  0.9920734E-07  0.1000000E+01  0.5775213E-05
        30      6 -0.3379626E-16  0.1000000E+01  0.5106087E-16
        30      7 -0.9939236E-07  0.1000000E+01 -0.5772994E-05
        30      8 -0.1989700E-06  0.1000000E+01 -0.1154377E-04
        30      9 -0.2987331E-06  0.1000000E+01 -0.1731235E-04
        30     10 -0.3986821E-06  0.1000000E+01 -0.2307871E-04
        30     11 -0.2416160E-06  0.1000000E+01 -0.1590305E-03
        30     12 -0.1818902E-06  0.1000000E+01 -0.1192570E-03
