#RUNGE KUTTA   S1,S2 = -0.3000000000000000,  0.4000000000000000
#        HMIN,H,HMAX =  0.2500000000000000E-03,  0.5000000000000000E-01,  0.3500000000000000
#             EPS,BS =  0.1000000000000000E-09,  0.2000000000000000E-08
# STEP    S                 DS
     0 -0.3000000000E+00  0.50000E-01
     1 -0.2500000000E+00  0.50000E-01
     3 -0.1833333333E+00  0.66667E-01
     5 -0.1370346741E+00  0.46299E-01
     6 -0.8694242992E-01  0.50092E-01
     8 -0.7491963949E-01  0.12023E-01
     9 -0.5067823522E-01  0.24241E-01
    10 -0.3013788796E-01  0.20540E-01
    11 -0.1291140672E-01  0.17226E-01
    12  0.3381540432E-02  0.16293E-01
    13  0.2074309535E-01  0.17362E-01
    14  0.4257142848E-01  0.21828E-01
    15  0.6816366683E-01  0.25592E-01
    16  0.9974455563E-01  0.31581E-01
    17  0.1417281984E+00  0.41984E-01
    18  0.1940275513E+00  0.52299E-01
    19  0.2467798367E+00  0.52752E-01
    20  0.3160389772E+00  0.69259E-01
    21  0.3932932639E+00  0.77254E-01
    22  0.4000000000E+00  0.67067E-02
#ERROR ESTIMATE  0.3336481352619282E-08
