# number of spin vectors:      62
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      2  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      3  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      4  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      5  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      6  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      7  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      8  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      9  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     10  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     11  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     12  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     13  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     14  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     15  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     16  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     17  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     18  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     19  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     20  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     21  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     22  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     23  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     24  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     25  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     26  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     27  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     28  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     29  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     30  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     31  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     32  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     33  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     34  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     35  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     36  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     37  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     38  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     39  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     40  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     41  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     42  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     43  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     44  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     45  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     46  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     47  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     48  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     49  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     50  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     51  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     52  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     53  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     54  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     55  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     56  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     57  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     58  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     59  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     60  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     61  0.0000000E+00  0.7071068E+00  0.7071068E+00

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1  0.7840715E-03  0.7071068E+00  0.7071063E+00
         1      2 -0.1604866E-01  0.7071140E+00  0.7069174E+00
         1      3  0.7423772E-02  0.6892971E+00  0.7244407E+00
         1      4 -0.1487097E-01  0.7071122E+00  0.7069450E+00
         1      5  0.6998461E-02  0.6904718E+00  0.7233255E+00
         1      6 -0.1369029E-01  0.7071108E+00  0.7069703E+00
         1      7  0.6567497E-02  0.6916592E+00  0.7221942E+00
         1      8 -0.1250794E-01  0.7071096E+00  0.7069933E+00
         1      9  0.6131076E-02  0.6928582E+00  0.7210478E+00
         1     10 -0.1132524E-01  0.7071087E+00  0.7070141E+00
         1     11  0.5689395E-02  0.6940676E+00  0.7198874E+00
         1     12 -0.1014349E-01  0.7071081E+00  0.7070327E+00
         1     13  0.5242653E-02  0.6952862E+00  0.7187138E+00
         1     14 -0.8964006E-02  0.7071076E+00  0.7070491E+00
         1     15  0.4791047E-02  0.6965130E+00  0.7175282E+00
         1     16 -0.7788110E-02  0.7071073E+00  0.7070634E+00
         1     17  0.4334776E-02  0.6977467E+00  0.7163314E+00
         1     18 -0.6617115E-02  0.7071071E+00  0.7070755E+00
         1     19  0.3874037E-02  0.6989862E+00  0.7151246E+00
         1     20 -0.5452334E-02  0.7071069E+00  0.7070856E+00
         1     21  0.3409030E-02  0.7002304E+00  0.7139088E+00
         1     22 -0.4295084E-02  0.7071068E+00  0.7070937E+00
         1     23  0.2939952E-02  0.7014781E+00  0.7126849E+00
         1     24 -0.3146680E-02  0.7071068E+00  0.7070998E+00
         1     25  0.2467004E-02  0.7027283E+00  0.7114541E+00
         1     26 -0.2008438E-02  0.7071068E+00  0.7071039E+00
         1     27  0.1990383E-02  0.7039797E+00  0.7102173E+00
         1     28 -0.8816745E-03  0.7071068E+00  0.7071062E+00
         1     29  0.1510289E-02  0.7052314E+00  0.7089756E+00
         1     30  0.2322955E-03  0.7071068E+00  0.7071067E+00
         1     31  0.1026921E-02  0.7064821E+00  0.7077302E+00
         1     32  0.1332156E-02  0.7071068E+00  0.7071055E+00
         1     33  0.5404782E-03  0.7077308E+00  0.7064820E+00
         1     34  0.2416590E-02  0.7071068E+00  0.7071027E+00
         1     35  0.5115989E-04  0.7089765E+00  0.7052321E+00
         1     36  0.3484282E-02  0.7071068E+00  0.7070982E+00
         1     37 -0.4408348E-03  0.7102180E+00  0.7039817E+00
         1     38  0.4533916E-02  0.7071068E+00  0.7070922E+00
         1     39 -0.9353068E-03  0.7114543E+00  0.7027317E+00
         1     40  0.5564176E-02  0.7071068E+00  0.7070848E+00
         1     41 -0.1432057E-02  0.7126843E+00  0.7014835E+00
         1     42  0.6573747E-02  0.7071069E+00  0.7070761E+00
         1     43 -0.1930886E-02  0.7139070E+00  0.7002379E+00
         1     44  0.7561312E-02  0.7071070E+00  0.7070661E+00
         1     45 -0.2431595E-02  0.7151213E+00  0.6989962E+00
         1     46  0.8525557E-02  0.7071072E+00  0.7070549E+00
         1     47 -0.2933986E-02  0.7163261E+00  0.6977594E+00
         1     48  0.9465165E-02  0.7071075E+00  0.7070427E+00
         1     49 -0.3437859E-02  0.7175206E+00  0.6965288E+00
         1     50  0.1037882E-01  0.7071079E+00  0.7070295E+00
         1     51 -0.3943017E-02  0.7187036E+00  0.6953054E+00
         1     52  0.1126521E-01  0.7071084E+00  0.7070154E+00
         1     53 -0.4449261E-02  0.7198741E+00  0.6940904E+00
         1     54  0.1212302E-01  0.7071092E+00  0.7070005E+00
         1     55 -0.4956393E-02  0.7210311E+00  0.6928850E+00
         1     56  0.1295093E-01  0.7071101E+00  0.7069849E+00
         1     57 -0.5464216E-02  0.7221736E+00  0.6916902E+00
         1     58  0.1374762E-01  0.7071112E+00  0.7069687E+00
         1     59 -0.5972532E-02  0.7233007E+00  0.6905074E+00
         1     60  0.1451180E-01  0.7071126E+00  0.7069521E+00
         1     61 -0.6481145E-02  0.7244113E+00  0.6893375E+00

         2      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         2      1  0.1568142E-02  0.7071068E+00  0.7071050E+00
         2      2 -0.1744610E-01  0.7071123E+00  0.7068860E+00
         2      3  0.1290611E-01  0.6900388E+00  0.7236573E+00
         2      4 -0.1574028E-01  0.7071111E+00  0.7069273E+00
         2      5  0.1208489E-01  0.6915721E+00  0.7222064E+00
         2      6 -0.1410631E-01  0.7071101E+00  0.7069628E+00
         2      7  0.1127258E-01  0.6930352E+00  0.7208156E+00
         2      8 -0.1254176E-01  0.7071092E+00  0.7069931E+00
         2      9  0.1046883E-01  0.6944312E+00  0.7194829E+00
         2     10 -0.1104384E-01  0.7071085E+00  0.7070188E+00
         2     11  0.9673130E-02  0.6957636E+00  0.7182058E+00
         2     12 -0.9609392E-02  0.7071080E+00  0.7070403E+00
         2     13  0.8884831E-02  0.6970362E+00  0.7169809E+00
         2     14 -0.8235017E-02  0.7071076E+00  0.7070580E+00
         2     15  0.8103126E-02  0.6982535E+00  0.7158047E+00
         2     16 -0.6917084E-02  0.7071073E+00  0.7070725E+00
         2     17  0.7327085E-02  0.6994203E+00  0.7146730E+00
         2     18 -0.5651786E-02  0.7071071E+00  0.7070839E+00
         2     19  0.6555667E-02  0.7005416E+00  0.7135814E+00
         2     20 -0.4435183E-02  0.7071069E+00  0.7070927E+00
         2     21  0.5787731E-02  0.7016228E+00  0.7125250E+00
         2     22 -0.3263238E-02  0.7071068E+00  0.7070992E+00
         2     23  0.5022047E-02  0.7026694E+00  0.7114987E+00
         2     24 -0.2131855E-02  0.7071068E+00  0.7071035E+00
         2     25  0.4257315E-02  0.7036872E+00  0.7104972E+00
         2     26 -0.1036902E-02  0.7071068E+00  0.7071060E+00
         2     27  0.3492170E-02  0.7046818E+00  0.7095148E+00
         2     28  0.2575022E-04  0.7071068E+00  0.7071068E+00
         2     29  0.2725201E-02  0.7056594E+00  0.7085459E+00
         2     30  0.1060212E-02  0.7071068E+00  0.7071060E+00
         2     31  0.1954955E-02  0.7066259E+00  0.7075847E+00
         2     32  0.2070543E-02  0.7071068E+00  0.7071037E+00
         2     33  0.1179955E-02  0.7075872E+00  0.7066251E+00
         2     34  0.3060734E-02  0.7071068E+00  0.7071002E+00
         2     35  0.3987080E-03  0.7085493E+00  0.7056612E+00
         2     36  0.4034686E-02  0.7071068E+00  0.7070953E+00
         2     37 -0.3902822E-03  0.7095181E+00  0.7046871E+00
         2     38  0.4996183E-02  0.7071068E+00  0.7070891E+00
         2     39 -0.1188505E-02  0.7104996E+00  0.7036966E+00
         2     40  0.5948877E-02  0.7071068E+00  0.7070817E+00
         2     41 -0.1997430E-02  0.7114993E+00  0.7026840E+00
         2     42  0.6896265E-02  0.7071069E+00  0.7070730E+00
         2     43 -0.2818494E-02  0.7125227E+00  0.7016434E+00
         2     44  0.7841665E-02  0.7071071E+00  0.7070630E+00
         2     45 -0.3653089E-02  0.7135753E+00  0.7005690E+00
         2     46  0.8788193E-02  0.7071073E+00  0.7070517E+00
         2     47 -0.4502551E-02  0.7146620E+00  0.6994555E+00
         2     48  0.9738742E-02  0.7071075E+00  0.7070389E+00
         2     49 -0.5368141E-02  0.7157877E+00  0.6982973E+00
         2     50  0.1069595E-01  0.7071079E+00  0.7070247E+00
         2     51 -0.6251032E-02  0.7169568E+00  0.6970896E+00
         2     52  0.1166219E-01  0.7071085E+00  0.7070089E+00
         2     53 -0.7152298E-02  0.7181733E+00  0.6958275E+00
         2     54  0.1263951E-01  0.7071091E+00  0.7069914E+00
         2     55 -0.8072889E-02  0.7194409E+00  0.6945068E+00
         2     56  0.1362964E-01  0.7071100E+00  0.7069722E+00
         2     57 -0.9013625E-02  0.7207626E+00  0.6931234E+00
         2     58  0.1463393E-01  0.7071110E+00  0.7069511E+00
         2     59 -0.9975172E-02  0.7221411E+00  0.6916739E+00
         2     60  0.1565335E-01  0.7071122E+00  0.7069281E+00
         2     61 -0.1095803E-01  0.7235782E+00  0.6901554E+00

         3      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         3      1  0.2352211E-02  0.7071068E+00  0.7071029E+00
         3      2 -0.3939391E-02  0.7071295E+00  0.7070731E+00
         3      3  0.1134122E-01  0.7079518E+00  0.7061697E+00
         3      4 -0.2596021E-02  0.7071243E+00  0.7070845E+00
         3      5  0.1046431E-01  0.7087494E+00  0.7053827E+00
         3      6 -0.1438898E-02  0.7071200E+00  0.7070921E+00
         3      7  0.9645583E-02  0.7093518E+00  0.7047887E+00
         3      8 -0.4548506E-03  0.7071165E+00  0.7070970E+00
         3      9  0.8880645E-02  0.7097770E+00  0.7043705E+00
         3     10  0.3690954E-03  0.7071136E+00  0.7070998E+00
         3     11  0.8164824E-02  0.7100427E+00  0.7041112E+00
         3     12  0.1045645E-02  0.7071115E+00  0.7071013E+00
         3     13  0.7493235E-02  0.7101662E+00  0.7039942E+00
         3     14  0.1587185E-02  0.7071098E+00  0.7071020E+00
         3     15  0.6860865E-02  0.7101639E+00  0.7040030E+00
         3     16  0.2005752E-02  0.7071086E+00  0.7071021E+00
         3     17  0.6262630E-02  0.7100515E+00  0.7041219E+00
         3     18  0.2313030E-02  0.7071078E+00  0.7071019E+00
         3     19  0.5693421E-02  0.7098441E+00  0.7043358E+00
         3     20  0.2520353E-02  0.7071073E+00  0.7071017E+00
         3     21  0.5148136E-02  0.7095560E+00  0.7046303E+00
         3     22  0.2638728E-02  0.7071070E+00  0.7071016E+00
         3     23  0.4621705E-02  0.7092007E+00  0.7049915E+00
         3     24  0.2678862E-02  0.7071069E+00  0.7071016E+00
         3     25  0.4109098E-02  0.7087911E+00  0.7054065E+00
         3     26  0.2651202E-02  0.7071068E+00  0.7071018E+00
         3     27  0.3605331E-02  0.7083397E+00  0.7058625E+00
         3     28  0.2565982E-02  0.7071068E+00  0.7071021E+00
         3     29  0.3105458E-02  0.7078586E+00  0.7063473E+00
         3     30  0.2433266E-02  0.7071068E+00  0.7071026E+00
         3     31  0.2604567E-02  0.7073595E+00  0.7068492E+00
         3     32  0.2263007E-02  0.7071068E+00  0.7071032E+00
         3     33  0.2097765E-02  0.7068539E+00  0.7073565E+00
         3     34  0.2065092E-02  0.7071068E+00  0.7071038E+00
         3     35  0.1580162E-02  0.7063533E+00  0.7078577E+00
         3     36  0.1849404E-02  0.7071068E+00  0.7071043E+00
         3     37  0.1046858E-02  0.7058693E+00  0.7083413E+00
         3     38  0.1625862E-02  0.7071069E+00  0.7071048E+00
         3     39  0.4929221E-03  0.7054138E+00  0.7087956E+00
         3     40  0.1404473E-02  0.7071070E+00  0.7071051E+00
         3     41 -0.8661476E-04  0.7049988E+00  0.7092085E+00
         3     42  0.1195367E-02  0.7071074E+00  0.7071052E+00
         3     43 -0.6967763E-03  0.7046369E+00  0.7095678E+00
         3     44  0.1008827E-02  0.7071079E+00  0.7071050E+00
         3     45 -0.1342646E-02  0.7043411E+00  0.7098604E+00
         3     46  0.8553062E-03  0.7071087E+00  0.7071043E+00
         3     47 -0.2029368E-02  0.7041251E+00  0.7100730E+00
         3     48  0.7454313E-03  0.7071100E+00  0.7071032E+00
         3     49 -0.2762142E-02  0.7040033E+00  0.7101913E+00
         3     50  0.6899840E-03  0.7071117E+00  0.7071015E+00
         3     51 -0.3546208E-02  0.7039905E+00  0.7102006E+00
         3     52  0.6998648E-03  0.7071141E+00  0.7070991E+00
         3     53 -0.4386819E-02  0.7041023E+00  0.7100850E+00
         3     54  0.7860306E-03  0.7071171E+00  0.7070960E+00
         3     55 -0.5289207E-02  0.7043548E+00  0.7098284E+00
         3     56  0.9594037E-03  0.7071210E+00  0.7070919E+00
         3     57 -0.6258532E-02  0.7047645E+00  0.7094137E+00
         3     58  0.1230752E-02  0.7071258E+00  0.7070867E+00
         3     59 -0.7299815E-02  0.7053481E+00  0.7088235E+00
         3     60  0.1610535E-02  0.7071315E+00  0.7070802E+00
         3     61 -0.8417857E-02  0.7061222E+00  0.7080400E+00

         4      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         4      1  0.3136276E-02  0.7071068E+00  0.7070998E+00
         4      2  0.1155214E-01  0.7071379E+00  0.7069813E+00
         4      3  0.4650337E-02  0.7246547E+00  0.6890965E+00
         4      4  0.1184289E-01  0.7071301E+00  0.7069843E+00
         4      5  0.4250371E-02  0.7238389E+00  0.6899560E+00
         4      6  0.1193272E-01  0.7071239E+00  0.7069890E+00
         4      7  0.3934000E-02  0.7228884E+00  0.6909536E+00
         4      8  0.1184548E-01  0.7071190E+00  0.7069953E+00
         4      9  0.3688803E-02  0.7218325E+00  0.6920580E+00
         4     10  0.1160243E-01  0.7071153E+00  0.7070031E+00
         4     11  0.3503466E-02  0.7206955E+00  0.6932429E+00
         4     12  0.1122238E-01  0.7071124E+00  0.7070121E+00
         4     13  0.3367765E-02  0.7194978E+00  0.6944866E+00
         4     14  0.1072170E-01  0.7071104E+00  0.7070219E+00
         4     15  0.3272516E-02  0.7182558E+00  0.6957715E+00
         4     16  0.1011459E-01  0.7071090E+00  0.7070322E+00
         4     17  0.3209505E-02  0.7169825E+00  0.6970837E+00
         4     18  0.9413170E-02  0.7071080E+00  0.7070429E+00
         4     19  0.3171407E-02  0.7156883E+00  0.6984127E+00
         4     20  0.8627757E-02  0.7071074E+00  0.7070535E+00
         4     21  0.3151686E-02  0.7143805E+00  0.6997503E+00
         4     22  0.7767068E-02  0.7071071E+00  0.7070638E+00
         4     23  0.3144499E-02  0.7130647E+00  0.7010911E+00
         4     24  0.6838461E-02  0.7071069E+00  0.7070736E+00
         4     25  0.3144589E-02  0.7117444E+00  0.7024315E+00
         4     26  0.5848175E-02  0.7071068E+00  0.7070826E+00
         4     27  0.3147179E-02  0.7104215E+00  0.7037694E+00
         4     28  0.4801569E-02  0.7071068E+00  0.7070905E+00
         4     29  0.3147861E-02  0.7090969E+00  0.7051040E+00
         4     30  0.3703366E-02  0.7071068E+00  0.7070971E+00
         4     31  0.3142487E-02  0.7077707E+00  0.7064353E+00
         4     32  0.2557890E-02  0.7071068E+00  0.7071022E+00
         4     33  0.3127058E-02  0.7064423E+00  0.7077638E+00
         4     34  0.1369299E-02  0.7071068E+00  0.7071055E+00
         4     35  0.3097613E-02  0.7051110E+00  0.7090902E+00
         4     36  0.1418180E-03  0.7071068E+00  0.7071067E+00
         4     37  0.3050124E-02  0.7037765E+00  0.7104149E+00
         4     38 -0.1120029E-02  0.7071069E+00  0.7071058E+00
         4     39  0.2980381E-02  0.7024385E+00  0.7117382E+00
         4     40 -0.2411200E-02  0.7071071E+00  0.7071024E+00
         4     41  0.2883888E-02  0.7010982E+00  0.7130589E+00
         4     42 -0.3725909E-02  0.7071074E+00  0.7070963E+00
         4     43  0.2755758E-02  0.6997573E+00  0.7143753E+00
         4     44 -0.5057411E-02  0.7071081E+00  0.7070874E+00
         4     45  0.2590606E-02  0.6984197E+00  0.7156837E+00
         4     46 -0.6397791E-02  0.7071091E+00  0.7070755E+00
         4     47  0.2382451E-02  0.6970908E+00  0.7169789E+00
         4     48 -0.7737756E-02  0.7071106E+00  0.7070606E+00
         4     49  0.2124619E-02  0.6957786E+00  0.7182532E+00
         4     50 -0.9066444E-02  0.7071128E+00  0.7070426E+00
         4     51  0.1809651E-02  0.6944937E+00  0.7194966E+00
         4     52 -0.1037123E-01  0.7071158E+00  0.7070217E+00
         4     53  0.1429216E-02  0.6932499E+00  0.7206959E+00
         4     54 -0.1163757E-01  0.7071199E+00  0.7069978E+00
         4     55  0.9740419E-03  0.6920647E+00  0.7218348E+00
         4     56 -0.1284881E-01  0.7071253E+00  0.7069715E+00
         4     57  0.4338501E-03  0.6909597E+00  0.7228932E+00
         4     58 -0.1398611E-01  0.7071323E+00  0.7069430E+00
         4     59 -0.2026872E-03  0.6899609E+00  0.7238466E+00
         4     60 -0.1502831E-01  0.7071410E+00  0.7069128E+00
         4     61 -0.9479657E-03  0.6890995E+00  0.7246661E+00

         5      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         5      1  0.3920338E-02  0.7071068E+00  0.7070959E+00
         5      2  0.1460405E-01  0.7071363E+00  0.7069264E+00
         5      3  0.4973875E-03  0.7226487E+00  0.6912153E+00
         5      4  0.1391168E-01  0.7071293E+00  0.7069474E+00
         5      5  0.8044471E-03  0.7207424E+00  0.6932025E+00
         5      6  0.1317859E-01  0.7071235E+00  0.7069672E+00
         5      7  0.1131254E-02  0.7189497E+00  0.6950612E+00
         5      8  0.1242604E-01  0.7071190E+00  0.7069854E+00
         5      9  0.1464174E-02  0.7172887E+00  0.6967745E+00
         5     10  0.1166937E-01  0.7071154E+00  0.7070019E+00
         5     11  0.1792350E-02  0.7157707E+00  0.6983331E+00
         5     12  0.1091872E-01  0.7071126E+00  0.7070166E+00
         5     13  0.2107445E-02  0.7144002E+00  0.6997342E+00
         5     14  0.1017971E-01  0.7071106E+00  0.7070297E+00
         5     15  0.2403364E-02  0.7131763E+00  0.7009806E+00
         5     16  0.9454032E-02  0.7071091E+00  0.7070412E+00
         5     17  0.2675974E-02  0.7120933E+00  0.7020798E+00
         5     18  0.8740142E-02  0.7071081E+00  0.7070514E+00
         5     19  0.2922827E-02  0.7111417E+00  0.7030427E+00
         5     20  0.8033761E-02  0.7071075E+00  0.7070605E+00
         5     21  0.3142888E-02  0.7103089E+00  0.7038830E+00
         5     22  0.7328416E-02  0.7071071E+00  0.7070685E+00
         5     23  0.3336294E-02  0.7095800E+00  0.7046169E+00
         5     24  0.6615900E-02  0.7071069E+00  0.7070757E+00
         5     25  0.3504116E-02  0.7089382E+00  0.7052619E+00
         5     26  0.5886686E-02  0.7071068E+00  0.7070822E+00
         5     27  0.3648153E-02  0.7083652E+00  0.7058367E+00
         5     28  0.5130291E-02  0.7071068E+00  0.7070882E+00
         5     29  0.3770738E-02  0.7078419E+00  0.7063609E+00
         5     30  0.4335607E-02  0.7071068E+00  0.7070935E+00
         5     31  0.3874563E-02  0.7073485E+00  0.7068544E+00
         5     32  0.3491197E-02  0.7071068E+00  0.7070982E+00
         5     33  0.3962511E-02  0.7068650E+00  0.7073374E+00
         5     34  0.2585559E-02  0.7071068E+00  0.7071021E+00
         5     35  0.4037500E-02  0.7063709E+00  0.7078304E+00
         5     36  0.1607391E-02  0.7071068E+00  0.7071049E+00
         5     37  0.4102326E-02  0.7058461E+00  0.7083533E+00
         5     38  0.5458417E-03  0.7071069E+00  0.7071065E+00
         5     39  0.4159503E-02  0.7052705E+00  0.7089261E+00
         5     40 -0.6092338E-03  0.7071071E+00  0.7071062E+00
         5     41  0.4211096E-02  0.7046246E+00  0.7095678E+00
         5     42 -0.1866994E-02  0.7071075E+00  0.7071036E+00
         5     43  0.4258546E-02  0.7038897E+00  0.7102965E+00
         5     44 -0.3235313E-02  0.7071081E+00  0.7070980E+00
         5     45  0.4302472E-02  0.7030482E+00  0.7111292E+00
         5     46 -0.4720452E-02  0.7071092E+00  0.7070886E+00
         5     47  0.4342464E-02  0.7020841E+00  0.7120808E+00
         5     48 -0.6326687E-02  0.7071107E+00  0.7070746E+00
         5     49  0.4376859E-02  0.7009836E+00  0.7131640E+00
         5     50 -0.8055905E-02  0.7071128E+00  0.7070549E+00
         5     51  0.4402495E-02  0.6997358E+00  0.7143881E+00
         5     52 -0.9907155E-02  0.7071157E+00  0.7070285E+00
         5     53  0.4414466E-02  0.6983335E+00  0.7157589E+00
         5     54 -0.1187618E-01  0.7071195E+00  0.7069943E+00
         5     55  0.4405856E-02  0.6967738E+00  0.7172774E+00
         5     56 -0.1395490E-01  0.7071244E+00  0.7069514E+00
         5     57  0.4367486E-02  0.6950596E+00  0.7189389E+00
         5     58 -0.1613094E-01  0.7071306E+00  0.7068989E+00
         5     59  0.4287664E-02  0.6932002E+00  0.7207323E+00
         5     60 -0.1838716E-01  0.7071384E+00  0.7068360E+00
         5     61  0.4151961E-02  0.6912128E+00  0.7226394E+00

         6      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         6      1  0.4704395E-02  0.7071068E+00  0.7070911E+00
         6      2  0.1656905E-02  0.7071554E+00  0.7070562E+00
         6      3  0.3522483E-02  0.7045468E+00  0.7096488E+00
         6      4  0.1058378E-02  0.7071444E+00  0.7070684E+00
         6      5  0.4200867E-02  0.7030570E+00  0.7111211E+00
         6      6  0.6528781E-03  0.7071351E+00  0.7070782E+00
         6      7  0.4773375E-02  0.7019557E+00  0.7122046E+00
         6      8  0.4315503E-03  0.7071275E+00  0.7070860E+00
         6      9  0.5238300E-02  0.7012128E+00  0.7129328E+00
         6     10  0.3796789E-03  0.7071214E+00  0.7070921E+00
         6     11  0.5597440E-02  0.7007924E+00  0.7133433E+00
         6     12  0.4784992E-03  0.7071167E+00  0.7070967E+00
         6     13  0.5855196E-02  0.7006563E+00  0.7134749E+00
         6     14  0.7067106E-03  0.7071132E+00  0.7071000E+00
         6     15  0.6017796E-02  0.7007659E+00  0.7133659E+00
         6     16  0.1041676E-02  0.7071107E+00  0.7071021E+00
         6     17  0.6092670E-02  0.7010843E+00  0.7130524E+00
         6     18  0.1460314E-02  0.7071090E+00  0.7071031E+00
         6     19  0.6087960E-02  0.7015767E+00  0.7125679E+00
         6     20  0.1939723E-02  0.7071079E+00  0.7071030E+00
         6     21  0.6012163E-02  0.7022115E+00  0.7119431E+00
         6     22  0.2457569E-02  0.7071073E+00  0.7071020E+00
         6     23  0.5873884E-02  0.7029600E+00  0.7112051E+00
         6     24  0.2992293E-02  0.7071070E+00  0.7071003E+00
         6     25  0.5681676E-02  0.7037967E+00  0.7103787E+00
         6     26  0.3523173E-02  0.7071068E+00  0.7070980E+00
         6     27  0.5443960E-02  0.7046987E+00  0.7094858E+00
         6     28  0.4030279E-02  0.7071068E+00  0.7070953E+00
         6     29  0.5168991E-02  0.7056452E+00  0.7085465E+00
         6     30  0.4494360E-02  0.7071068E+00  0.7070925E+00
         6     31  0.4864878E-02  0.7066170E+00  0.7075795E+00
         6     32  0.4896679E-02  0.7071068E+00  0.7070898E+00
         6     33  0.4539622E-02  0.7075962E+00  0.7066025E+00
         6     34  0.5218837E-02  0.7071068E+00  0.7070875E+00
         6     35  0.4201173E-02  0.7085651E+00  0.7056330E+00
         6     36  0.5442580E-02  0.7071068E+00  0.7070858E+00
         6     37  0.3857496E-02  0.7095058E+00  0.7046890E+00
         6     38  0.5549641E-02  0.7071070E+00  0.7070848E+00
         6     39  0.3516623E-02  0.7103998E+00  0.7037896E+00
         6     40  0.5521599E-02  0.7071073E+00  0.7070847E+00
         6     41  0.3186698E-02  0.7112269E+00  0.7029553E+00
         6     42  0.5339797E-02  0.7071079E+00  0.7070855E+00
         6     43  0.2875976E-02  0.7119651E+00  0.7022090E+00
         6     44  0.4985323E-02  0.7071089E+00  0.7070871E+00
         6     45  0.2592796E-02  0.7125898E+00  0.7015762E+00
