# number of spin vectors:      32
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      5  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      6  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      7  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      8  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      9  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     10  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     11  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     12  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     13  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     14  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     15  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     16  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     17  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     18  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     19  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     20  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     21  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     22  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     23  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     24  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     25  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     26  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     27  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     28  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     29  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     30  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0     31  0.0000000E+00  0.0000000E+00  0.1000000E+01

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1  0.7382793E-04  0.0000000E+00  0.1000000E+01
        10      2 -0.2487339E-03 -0.6326555E-07  0.1000000E+01
        10      3  0.7179007E-04  0.3662522E-04  0.1000000E+01
        10      4 -0.1159476E-02 -0.2744888E-08  0.9999993E+00
        10      5 -0.1722540E-03 -0.4928862E-07  0.1000000E+01
        10      6  0.7261097E-04  0.2856080E-04  0.1000000E+01
        10      7 -0.8853905E-03 -0.2130854E-08  0.9999996E+00
        10      8 -0.9936613E-04 -0.3522161E-07  0.1000000E+01
        10      9  0.7322158E-04  0.2044048E-04  0.1000000E+01
        10     10 -0.6113155E-03 -0.1519220E-08  0.9999998E+00
        10     11 -0.2905675E-04 -0.2111871E-07  0.1000000E+01
        10     12  0.7362187E-04  0.1228025E-04  0.1000000E+01
        10     13 -0.3372506E-03 -0.9098889E-09  0.9999999E+00
        10     14  0.3970621E-04 -0.7027440E-08  0.1000000E+01
        10     15  0.7381183E-04  0.4096074E-05  0.1000000E+01
        10     16 -0.6319580E-04 -0.3027647E-09  0.1000000E+01
        10     17  0.1079436E-03  0.7008073E-08  0.1000000E+01
        10     18  0.7379145E-04 -0.4096069E-05  0.1000000E+01
        10     19  0.2108493E-03  0.3022494E-09  0.1000000E+01
        10     20  0.1766402E-03  0.2094385E-07  0.1000000E+01
        10     21  0.7356072E-04 -0.1228020E-04  0.1000000E+01
        10     22  0.4848848E-03  0.9052507E-09  0.9999999E+00
        10     23  0.2467226E-03  0.3473281E-07  0.1000000E+01
        10     24  0.7311966E-04 -0.2044036E-04  0.1000000E+01
        10     25  0.7589109E-03  0.1506337E-08  0.9999997E+00
        10     26  0.3190373E-03  0.4832141E-07  0.9999999E+00
        10     27  0.7246829E-04 -0.2856055E-04  0.1000000E+01
        10     28  0.1032928E-02  0.2105605E-08  0.9999995E+00
        10     29  0.3943265E-03  0.6164621E-07  0.9999999E+00
        10     30  0.7160662E-04 -0.3662481E-04  0.1000000E+01
        10     31  0.1306936E-02  0.2703154E-08  0.9999991E+00

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1  0.1476559E-03  0.0000000E+00  0.1000000E+01
        20      2  0.5395887E-03 -0.6473698E-07  0.9999999E+00
        20      3  0.1452629E-03  0.7283073E-04  0.1000000E+01
        20      4 -0.2259234E-02 -0.5308642E-08  0.9999974E+00
        20      5  0.4569549E-03 -0.4872581E-07  0.9999999E+00
        20      6  0.1462151E-03  0.5678999E-04  0.1000000E+01
        20      7 -0.1724298E-02 -0.4118885E-08  0.9999985E+00
        20      8  0.3714098E-03 -0.3398117E-07  0.9999999E+00
        20      9  0.1469265E-03  0.4064133E-04  0.1000000E+01
        20     10 -0.1189408E-02 -0.2935154E-08  0.9999993E+00
        20     11  0.2834685E-03 -0.2009629E-07  0.1000000E+01
        20     12  0.1473978E-03  0.2441562E-04  0.1000000E+01
        20     13 -0.6545591E-03 -0.1757117E-08  0.9999998E+00
        20     14  0.1934154E-03 -0.6668387E-08  0.1000000E+01
        20     15  0.1476296E-03  0.8143676E-05  0.1000000E+01
        20     16 -0.1197425E-03 -0.5844365E-09  0.1000000E+01
        20     17  0.1014401E-03  0.6705607E-08  0.1000000E+01
        20     18  0.1476223E-03 -0.8143675E-05  0.1000000E+01
        20     19  0.4150489E-03  0.5832241E-09  0.9999999E+00
        20     20  0.7787408E-05  0.2043445E-07  0.1000000E+01
        20     21  0.1473759E-03 -0.2441561E-04  0.1000000E+01
        20     22  0.9498226E-03  0.1746206E-08  0.9999995E+00
        20     23 -0.8707542E-04  0.3493783E-07  0.1000000E+01
        20     24  0.1468901E-03 -0.4064132E-04  0.1000000E+01
        20     25  0.1484586E-02  0.2904853E-08  0.9999989E+00
        20     26 -0.1822705E-03  0.5065016E-07  0.1000000E+01
        20     27  0.1461644E-03 -0.5678995E-04  0.1000000E+01
        20     28  0.2019346E-02  0.4059510E-08  0.9999980E+00
        20     29 -0.2763036E-03  0.6802137E-07  0.1000000E+01
        20     30  0.1451978E-03 -0.7283067E-04  0.1000000E+01
        20     31  0.2554112E-02  0.5210526E-08  0.9999967E+00

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1  0.2214838E-03  0.0000000E+00  0.1000000E+01
        30      2  0.1327060E-04  0.5347207E-08  0.1000000E+01
        30      3  0.2158354E-03  0.1081747E-03  0.1000000E+01
        30      4 -0.3241927E-02 -0.7600244E-08  0.9999947E+00
        30      5  0.4376177E-04  0.3709103E-08  0.1000000E+01
        30      6  0.2180729E-03  0.8434844E-04  0.1000000E+01
        30      7 -0.2471973E-02 -0.5891886E-08  0.9999969E+00
        30      8  0.8667246E-04  0.2369959E-08  0.1000000E+01
        30      9  0.2197478E-03  0.6036272E-04  0.1000000E+01
        30     10 -0.1702240E-02 -0.4195267E-08  0.9999986E+00
        30     11  0.1377837E-03  0.1308532E-08  0.1000000E+01
        30     12  0.2208618E-03  0.3626315E-04  0.1000000E+01
        30     13 -0.9326733E-03 -0.2509619E-08  0.9999996E+00
        30     14  0.1932460E-03  0.4223633E-09  0.1000000E+01
        30     15  0.2214162E-03  0.1209530E-04  0.1000000E+01
        30     16 -0.1632187E-03 -0.8341588E-09  0.1000000E+01
        30     17  0.2494781E-03 -0.4351532E-09  0.1000000E+01
        30     18  0.2214117E-03 -0.1209530E-04  0.1000000E+01
        30     19  0.6061789E-03  0.8319121E-09  0.9999998E+00
        30     20  0.3029828E-03 -0.1421898E-08  0.1000000E+01
        30     21  0.2208482E-03 -0.3626315E-04  0.1000000E+01
        30     22  0.1375574E-02  0.2489405E-08  0.9999991E+00
        30     23  0.3501107E-03 -0.2674448E-08  0.9999999E+00
        30     24  0.2197251E-03 -0.6036271E-04  0.1000000E+01
        30     25  0.2145022E-02  0.4139144E-08  0.9999977E+00
        30     26  0.3867947E-03 -0.4271726E-08  0.9999999E+00
        30     27  0.2180411E-03 -0.8434842E-04  0.1000000E+01
        30     28  0.2914577E-02  0.5781967E-08  0.9999958E+00
        30     29  0.4082842E-03 -0.6190955E-08  0.9999999E+00
        30     30  0.2157942E-03 -0.1081747E-03  0.1000000E+01
        30     31  0.3684294E-02  0.7418727E-08  0.9999932E+00

