SGx2 SGx1 SGy1 CHROM_X CHROM_Y
 100000.0000000000 -.2776629186075510E-001 -.8107062050154535E-002 -.8017758113231863E-001 -.9999941498510112E-001
 90000.00000000000 -.2444953115512699E-001 -.8447808638306162E-002 -.1336969292654062E-001 -.2849621926485518E-001
 80000.00000000000 -.2112982808000356E-001 -.8749117200145267E-002 0.8630326938217048E-001 -.4291141605682698E-001
 70000.00000000000 -.1785656452567226E-001 -.9090017442962804E-002 -.4231960979528555E-001 0.6632700920990697E-001
 60000.00000000000 -.1454459175193543E-001 -.9340315077667291E-002 0.4805166782166812E-001 -.4929714047086800E-001
 50000.00000000000 -.1126570736638217E-001 -.9707256747518444E-002 -.6830231277991902E-001 0.1101690044885025
 40000.00000000000 -.7982240893415553E-002 -.9956864344063780E-002 -.1056145861560616 0.1760308649500743E-001
 30000.00000000000 -.4599401336015586E-002 -.1046731720181046E-001 0.1734088097985728 0.3911011777741334
 20000.00000000000 -.1356019179662785E-002 -.1059875747084676E-001 0.1494786910657828E-001 0.8315733858434070E-001
 10000.00000000000 0.1943742913246365E-002 -.1083107895557693E-001 0.5943535567943905E-001 -.5997361469743012E-001
0.0000000000000000E+000 0.5286145552448619E-002 -.1105944526058750E-001 0.2974005699492811 -.2481410071040126
-10000.00000000000 0.8496013499453716E-002 -.1140218705516767E-001 -.1168619401267706 -.8048451310903268E-001
-20000.00000000000 0.1183142939667669E-001 -.1178229908211318E-001 0.1411590925115016E-001 0.5820830723600860E-001
-30000.00000000000 0.1516698376327693E-001 -.1203540522794765E-001 0.2089973657460371 -.7175920980484440E-001
-40000.00000000000 0.1841078993282460E-001 -.1234412656316536E-001 -.3589098309626999E-001 -.5224627523443454E-002
-50000.00000000000 0.2172980182265265E-001 -.1267003126282678E-001 0.4842250508185184E-001 0.3296071512490189E-001
-60000.00000000000 0.2501133549872807E-001 -.1296982783694926E-001 -.2257740349771836E-001 0.4817670459372737E-001
-70000.00000000000 0.2832808725897793E-001 -.1325880210783802E-001 0.6998628776396396E-001 0.1022020230342982E-001
-80000.00000000000 0.3161042378666915E-001 -.1353219446638247E-001 0.1574825804242463E-001 -.3108338760769822E-001
-90000.00000000000 0.3491668104912148E-001 -.1390063138259546E-001 0.2158619876450341E-001 0.1080018752424500
-100000.0000000000 0.3819745988930224E-001 -.1414354420999392E-001 -.2446103551038882E-001 0.3592073566427303E-002
