SGx2 SGx1 SGy1 CHROM_X CHROM_Y
 100000.0000000000 0.3201255066897101E-002 -.2160296259576546E-001 -.4626026208991826E-001 0.1309122710354947
 90000.00000000000 0.3409523925692564E-002 -.2052445097856907E-001 -.8464578883516350E-003 0.4211552691976114E-001
 80000.00000000000 0.3631342444429999E-002 -.1949978324057540E-001 0.7859333058601196E-001 0.5551271009385058E-001
 70000.00000000000 0.3852150223316670E-002 -.1849168691288006E-001 0.1452368622239800 0.1048177865060852
 60000.00000000000 0.4006814730413871E-002 -.1736005561288132E-001 -.2362941460149288E-001 -.5019203652208110E-001
 50000.00000000000 0.4238326272878956E-002 -.1630540699201797E-001 0.1142817954207372 -.1085230588560787
 40000.00000000000 0.4430294024622704E-002 -.1531816796329032E-001 0.4100695639204243E-001 0.9686968747058456E-002
 30000.00000000000 0.4639209247287770E-002 -.1427727869084223E-001 0.7057808421796469E-001 -.1169992672129470E-003
 20000.00000000000 0.4803895589072391E-002 -.1320450686750922E-001 -.8260540405576387E-001 -.3929375879577092E-001
 10000.00000000000 0.5063698735896824E-002 -.1222633822916643E-001 0.1442620635048570 0.3975190690943099E-001
0.0000000000000000E+000 0.5223585053405907E-002 -.1115180648511386E-001 -.2960235540607951E-001 0.9822999443574014E-003
-10000.00000000000 0.5440179827663929E-002 -.1000778198653188E-001 0.8584701523976575E-001 -.2334957109708307
-20000.00000000000 0.5626800190134702E-002 -.9043004361625723E-002 -.2263553444763486E-001 -.6319419004810316E-001
-30000.00000000000 0.5803594803903961E-002 -.8042239366346049E-002 -.1573164142745717 0.3946640529979886E-001
-40000.00000000000 0.6006583780657160E-002 -.6954292520794447E-002 -.1309143929817974 -.6473914919972477E-001
-50000.00000000000 0.6255321331839794E-002 -.5961206218423218E-002 0.5368821370228537E-001 -.7718271283835351E-002
-60000.00000000000 0.6463862944068002E-002 -.4898394863562548E-002 0.9250423031327895E-001 -.6355296418094576E-001
-70000.00000000000 0.6632134811709434E-002 -.3873794186651144E-002 -.6857761803145838E-001 -.3960428078222965E-002
-80000.00000000000 0.6931531309258549E-002 -.2795367046422329E-002 0.3860657014619880 -.1709541760685813
-90000.00000000000 0.7012452483740019E-002 -.1828223240842069E-002 -.1959530941451246 0.8525238231831035E-001
-100000.0000000000 0.7249354338887570E-002 -.7440084455504863E-003 -.1910139018248568E-001 -.4022937810275098E-001
