SGx2 SGx1 SGy1 quadKx quadKy
 100000.0000000000 -.2652639608778107E-001 0.2958631535183280E-002 0.4617796210011558E-005 -.2346501204046371E-005
 90000.00000000000 -.2378367585503882E-001 0.2705560842984394E-002 0.3618330933371911E-005 0.8838801360577167E-005
 80000.00000000000 -.2103718493649429E-001 0.2424560976980514E-002 0.2350303268684795E-004 0.6157947763255706E-004
 70000.00000000000 -.1830139892076182E-001 0.2225506775188221E-002 -.6890690998538046E-005 -.7834716652169055E-005
 60000.00000000000 -.1555837234837976E-001 0.1973147261662175E-002 0.3920520961863138E-005 0.2035166063412624E-005
 50000.00000000000 -.1281655603316471E-001 0.1726796250754921E-002 -.2002415426006691E-005 0.3220252230133273E-005
 40000.00000000000 -.1007425620704454E-001 0.1479122657615766E-002 0.2418142547597079E-005 0.6178200166232973E-005
 30000.00000000000 -.7333589352989778E-002 0.1240846862119775E-002 -.1136014067918111E-004 -.4613818771909939E-005
 20000.00000000000 -.4589911988383347E-002 0.9808994442723469E-003 -.6336721254988729E-005 0.1678489126846212E-004
 10000.00000000000 -.1845231656804480E-002 0.7134848029459935E-003 0.4111629420627735E-005 0.4929727698028526E-004
0.0000000000000000E+000 0.8931369111173145E-003 0.4978012139841099E-003 -.3496318704244129E-005 0.4409923796271142E-005
-10000.00000000000 0.3631159039984765E-002 0.2929043156029648E-003 0.1487550498442019E-004 -.5723642249907551E-004
-20000.00000000000 0.6374091123603311E-002 0.3251704777008345E-004 -.4455710877365314E-005 -.3466875871216027E-004
-30000.00000000000 0.9088825691892042E-002 0.4016144026855833E-004 0.2086218620359140E-004 -.4160094409781345E-003
-40000.00000000000 0.1179933883196798E-001 0.4688260747777157E-004 -.8644764721336394E-004 -.7931975652094951E-003
-50000.00000000000 0.1451373345800897E-001 0.5030722358124080E-004 -.8587837503302051E-004 -.1167678073631140E-002
-60000.00000000000 0.1722674626486713E-001 0.5689668884166461E-004 -.1169565521464027E-003 -.1546257174148691E-002
-70000.00000000000 0.1994118425476466E-001 0.6155787346990717E-004 -.1108605113249452E-003 -.1922712027670755E-002
-80000.00000000000 0.2265682961462967E-001 0.6691787582418876E-004 -.6535611137303627E-004 -.2301038963221007E-002
-90000.00000000000 0.2537277538451709E-001 0.7218874852257261E-004 -.1093906338944241E-004 -.2679417681484565E-002
-100000.0000000000 0.2808190654351962E-001 0.7692476349464374E-004 -.1673789407489618E-003 -.3052597112515191E-002
