SGx2 SGx1 SGy1 quadKx quadKy
 100000.0000000000 0.4483103560495635E-002 0.1892945319643620E-001 -.3669608552329919E-005 0.1826442969733690E-005
 90000.00000000000 0.4123193563043710E-002 0.1709351331699667E-001 -.7149096683504300E-005 -.8705916674126446E-005
 80000.00000000000 0.3765453223554062E-002 0.1524280786980694E-001 0.5816657255379199E-005 0.2618578278185690E-005
 70000.00000000000 0.3406392319075332E-002 0.1339829329747243E-001 -.7164984683506450E-006 0.5041696220122353E-005
 60000.00000000000 0.3047054637047649E-002 0.1155556297078803E-001 -.9684725206015368E-005 0.4833004817137625E-005
 50000.00000000000 0.2687241210430596E-002 0.9723265342282005E-002 0.2158857495832950E-005 -.1149478203787610E-004
 40000.00000000000 0.2328771793070694E-002 0.7872818955557432E-002 -.6360992366143107E-005 -.1119254154653134E-006
 30000.00000000000 0.1969537281790878E-002 0.6031556099929860E-002 -.7184250632150989E-005 -.2696697046755117E-005
 20000.00000000000 0.1611074694175234E-002 0.4188260895358059E-002 0.8774392765655732E-005 -.2575692320150203E-005
 10000.00000000000 0.1251775859802674E-002 0.2347191616803098E-002 0.6634939249480644E-005 -.5424066839884381E-005
0.0000000000000000E+000 0.8930156823056785E-003 0.4986744196368432E-003 -.4257007117556984E-005 0.3107748489600349E-005
-10000.00000000000 0.5357432830826837E-003 -.1357800159908642E-002 0.3484293547333667E-005 0.2321488272255617E-004
-20000.00000000000 0.1749938828430317E-003 -.3186889916191973E-002 -.2496952347475246E-005 0.2435689962257719E-005
-30000.00000000000 -.1853041574536213E-003 -.5018475367580192E-002 -.3102185151243403E-005 -.1470334980094463E-004
-40000.00000000000 -.5434739721528847E-003 -.6867669812118995E-002 0.1817125591556709E-005 -.5482885340289311E-005
-50000.00000000000 -.9032508723922888E-003 -.8703529375815118E-002 0.2693019483044447E-005 -.1622678240848868E-004
-60000.00000000000 -.1260585173226748E-002 -.1056133380853875E-001 0.4022335214763596E-005 0.6013404574286236E-005
-70000.00000000000 -.1587241842282247E-002 -.1266238043138297E-001 0.1209094616546745E-003 0.3915531254290168E-003
-80000.00000000000 -.1978220979779486E-002 -.1425656212516414E-001 -.1517371530583197E-004 0.2030769877168815E-004
-90000.00000000000 -.2336752237128683E-002 -.1610041081964524E-001 -.3200001760124207E-005 0.2134392871421535E-004
-100000.0000000000 -.2697375121063049E-002 -.1793124123003379E-001 -.1120756859636551E-004 0.3224000761171115E-005
