# number of rays:       5
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1000000E-03
         0      3  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2000000E-03
         0      4  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.5000000E-03

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      2 -0.2614882E-06 -0.1291920E-06  0.0000000E+00  0.0000000E+00 -0.1729963E-02  0.9999989E-04
        10      3 -0.4775348E-06 -0.2759781E-06  0.0000000E+00  0.0000000E+00 -0.3464093E-02  0.1999995E-03
        10      4 -0.7745820E-06 -0.7464616E-06  0.0000000E+00  0.0000000E+00 -0.8691531E-02  0.4999971E-03

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      2 -0.7782408E-06  0.5903447E-08  0.0000000E+00  0.0000000E+00 -0.3444123E-02  0.9999977E-04
        20      3 -0.1522088E-05 -0.6374421E-07  0.0000000E+00  0.0000000E+00 -0.6896546E-02  0.1999990E-03
        20      4 -0.2958451E-05 -0.7024016E-06  0.0000000E+00  0.0000000E+00 -0.1730370E-01  0.4999934E-03

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      2 -0.8824726E-06  0.2307000E-06  0.0000000E+00  0.0000000E+00 -0.5142624E-02  0.9999963E-04
        30      3 -0.1968753E-05  0.4000052E-06  0.0000000E+00  0.0000000E+00 -0.1029765E-01  0.1999984E-03
        30      4 -0.5153506E-05  0.1039660E-06  0.0000000E+00  0.0000000E+00 -0.2583723E-01  0.4999881E-03

        40      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      2 -0.4395293E-06  0.2546873E-06  0.0000000E+00  0.0000000E+00 -0.6825607E-02  0.9999948E-04
        40      3 -0.1319465E-05  0.5980656E-06  0.0000000E+00  0.0000000E+00 -0.1366768E-01  0.1999977E-03
        40      4 -0.5954536E-05  0.1156373E-05  0.0000000E+00  0.0000000E+00 -0.3429285E-01  0.4999804E-03

        50      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      2 -0.2190261E-07  0.4687408E-07  0.0000000E+00  0.0000000E+00 -0.8493214E-02  0.9999931E-04
        50      3 -0.2984710E-06  0.3095611E-06  0.0000000E+00  0.0000000E+00 -0.1700692E-01  0.1999967E-03
        50      4 -0.4848867E-05  0.1781059E-05  0.0000000E+00  0.0000000E+00 -0.4267124E-01  0.4999696E-03

        60      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
