# number of spin vectors:       5
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1 -0.4358634E-01  0.0000000E+00  0.9990497E+00
         1      2 -0.4345491E-01  0.0000000E+00  0.9990554E+00
         1      3 -0.4293032E-01  0.0000000E+00  0.9990781E+00
         1      4 -0.4227705E-01  0.0000000E+00  0.9991059E+00
