# number of rays:       5
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1000000E-03
         0      3  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2000000E-03
         0      4  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.5000000E-03

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      2  0.7961769E-06 -0.2498327E-06  0.0000000E+00  0.0000000E+00 -0.1683180E-02  0.9999989E-04
        10      3  0.1520979E-05 -0.4455051E-06  0.0000000E+00  0.0000000E+00 -0.3370426E-02  0.1999995E-03
        10      4  0.3078903E-05 -0.7168592E-06  0.0000000E+00  0.0000000E+00 -0.8456616E-02  0.4999971E-03

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      2  0.3586619E-06  0.1188926E-06  0.0000000E+00  0.0000000E+00 -0.3350978E-02  0.9999977E-04
        20      3  0.5118226E-06  0.2322939E-06  0.0000000E+00  0.0000000E+00 -0.6710056E-02  0.1999990E-03
        20      4  0.2728165E-06  0.3550175E-06  0.0000000E+00  0.0000000E+00 -0.1683599E-01  0.4999934E-03

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      2  0.2137398E-06 -0.1800593E-06  0.0000000E+00  0.0000000E+00 -0.5003538E-02  0.9999964E-04
        30      3  0.6165845E-06 -0.4140302E-06  0.0000000E+00  0.0000000E+00 -0.1001918E-01  0.1999984E-03
        30      4  0.2478775E-05 -0.9467865E-06  0.0000000E+00  0.0000000E+00 -0.2513884E-01  0.4999883E-03

        40      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      2  0.8670464E-06 -0.1038755E-06  0.0000000E+00  0.0000000E+00 -0.6640996E-02  0.9999949E-04
        40      3  0.1457168E-05 -0.5075148E-07  0.0000000E+00  0.0000000E+00 -0.1329806E-01  0.1999977E-03
        40      4  0.1130570E-05  0.4329863E-06  0.0000000E+00  0.0000000E+00 -0.3336584E-01  0.4999808E-03

        50      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      2  0.3976574E-07  0.8167519E-07  0.0000000E+00  0.0000000E+00 -0.8263491E-02  0.9999932E-04
        50      3 -0.1437286E-08  0.1036777E-07  0.0000000E+00  0.0000000E+00 -0.1654698E-01  0.1999968E-03
        50      4  0.1463860E-05 -0.8637483E-06  0.0000000E+00  0.0000000E+00 -0.4151770E-01  0.4999705E-03

        60      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      2  0.6177995E-06 -0.2706788E-06  0.0000000E+00  0.0000000E+00 -0.9871161E-02  0.9999911E-04
