# number of rays:       5
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1000000E-03
         0      3  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.2000000E-03
         0      4  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.5000000E-03

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      2 -0.5910148E-06 -0.6200857E-07  0.0000000E+00  0.0000000E+00 -0.1736171E-03  0.9999999E-04
         1      3 -0.1210706E-05 -0.1295425E-06  0.0000000E+00  0.0000000E+00 -0.3474641E-03  0.2000000E-03
         1      4 -0.3236982E-05 -0.3667074E-06  0.0000000E+00  0.0000000E+00 -0.8703842E-03  0.4999997E-03
