# number of spin vectors:       5
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1 -0.8652608E-03  0.0000000E+00  0.9999996E+00
        10      2  0.3774150E-03  0.0000000E+00  0.9999999E+00
        10      3  0.1619907E-02  0.0000000E+00  0.9999987E+00
        10      4  0.5346341E-02  0.0000000E+00  0.9999857E+00

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1 -0.1730521E-02  0.0000000E+00  0.9999985E+00
        20      2  0.7552351E-03  0.0000000E+00  0.9999997E+00
        20      3  0.3240584E-02  0.0000000E+00  0.9999947E+00
        20      4  0.1069409E-01  0.0000000E+00  0.9999428E+00

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1 -0.2595780E-02  0.0000000E+00  0.9999966E+00
        30      2  0.1133312E-02  0.0000000E+00  0.9999994E+00
        30      3  0.4861823E-02  0.0000000E+00  0.9999882E+00
        30      4  0.1604304E-01  0.0000000E+00  0.9998713E+00

        40      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      1 -0.3461037E-02  0.0000000E+00  0.9999940E+00
        40      2  0.1511401E-02  0.0000000E+00  0.9999989E+00
        40      3  0.6483181E-02  0.0000000E+00  0.9999790E+00
        40      4  0.2139256E-01  0.0000000E+00  0.9997712E+00

        50      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      1 -0.4326291E-02  0.0000000E+00  0.9999906E+00
        50      2  0.1889474E-02  0.0000000E+00  0.9999982E+00
        50      3  0.8104466E-02  0.0000000E+00  0.9999672E+00
        50      4  0.2674190E-01  0.0000000E+00  0.9996424E+00

        60      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      1 -0.5191542E-02  0.0000000E+00  0.9999865E+00
        60      2  0.2267755E-02  0.0000000E+00  0.9999974E+00
        60      3  0.9725939E-02  0.0000000E+00  0.9999527E+00
        60      4  0.3209051E-01  0.0000000E+00  0.9994850E+00

        70      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        70      1 -0.6056790E-02  0.0000000E+00  0.9999817E+00
        70      2  0.2646426E-02  0.0000000E+00  0.9999965E+00
        70      3  0.1134801E-01  0.0000000E+00  0.9999356E+00
        70      4  0.3743831E-01  0.0000000E+00  0.9992989E+00

        80      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        80      1 -0.6922032E-02  0.0000000E+00  0.9999760E+00
        80      2  0.3025391E-02  0.0000000E+00  0.9999954E+00
        80      3  0.1297077E-01  0.0000000E+00  0.9999159E+00
        80      4  0.4278555E-01  0.0000000E+00  0.9990843E+00

        90      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        90      1 -0.7787270E-02  0.0000000E+00  0.9999697E+00
        90      2  0.3404395E-02  0.0000000E+00  0.9999942E+00
        90      3  0.1459388E-01  0.0000000E+00  0.9998935E+00
        90      4  0.4813255E-01  0.0000000E+00  0.9988410E+00

       100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       100      1 -0.8652501E-02  0.0000000E+00  0.9999626E+00
       100      2  0.3783353E-02  0.0000000E+00  0.9999928E+00
       100      3  0.1621693E-01  0.0000000E+00  0.9998685E+00
       100      4  0.5347933E-01  0.0000000E+00  0.9985690E+00

       110      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       110      1 -0.9517727E-02  0.0000000E+00  0.9999547E+00
       110      2  0.4162456E-02  0.0000000E+00  0.9999913E+00
       110      3  0.1783989E-01  0.0000000E+00  0.9998409E+00
       110      4  0.5882543E-01  0.0000000E+00  0.9982683E+00

       120      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       120      1 -0.1038294E-01  0.0000000E+00  0.9999461E+00
       120      2  0.4541920E-02  0.0000000E+00  0.9999897E+00
       120      3  0.1946311E-01  0.0000000E+00  0.9998106E+00
       120      4  0.6417009E-01  0.0000000E+00  0.9979390E+00

       130      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       130      1 -0.1124815E-01  0.0000000E+00  0.9999367E+00
       130      2  0.4921705E-02  0.0000000E+00  0.9999879E+00
       130      3  0.2108695E-01  0.0000000E+00  0.9997776E+00
       130      4  0.6951251E-01  0.0000000E+00  0.9975811E+00

       140      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       140      1 -0.1211336E-01  0.0000000E+00  0.9999266E+00
       140      2  0.5301565E-02  0.0000000E+00  0.9999859E+00
       140      3  0.2271133E-01  0.0000000E+00  0.9997421E+00
       140      4  0.7485224E-01  0.0000000E+00  0.9971946E+00

       150      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       150      1 -0.1297855E-01  0.0000000E+00  0.9999158E+00
       150      2  0.5681359E-02  0.0000000E+00  0.9999839E+00
       150      3  0.2433581E-01  0.0000000E+00  0.9997038E+00
       150      4  0.8018930E-01  0.0000000E+00  0.9967797E+00

       160      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       160      1 -0.1384373E-01  0.0000000E+00  0.9999042E+00
       160      2  0.6061233E-02  0.0000000E+00  0.9999816E+00
       160      3  0.2596008E-01  0.0000000E+00  0.9996630E+00
       160      4  0.8552395E-01  0.0000000E+00  0.9963361E+00

       170      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       170      1 -0.1470891E-01  0.0000000E+00  0.9998918E+00
       170      2  0.6441428E-02  0.0000000E+00  0.9999793E+00
       170      3  0.2758427E-01  0.0000000E+00  0.9996195E+00
       170      4  0.9085636E-01  0.0000000E+00  0.9958640E+00

       180      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       180      1 -0.1557407E-01  0.0000000E+00  0.9998787E+00
       180      2  0.6821963E-02  0.0000000E+00  0.9999767E+00
       180      3  0.2920880E-01  0.0000000E+00  0.9995733E+00
       180      4  0.9618635E-01  0.0000000E+00  0.9953633E+00

       190      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       190      1 -0.1643922E-01  0.0000000E+00  0.9998649E+00
       190      2  0.7202609E-02  0.0000000E+00  0.9999741E+00
       190      3  0.3083388E-01  0.0000000E+00  0.9995245E+00
       190      4  0.1015132E+00  0.0000000E+00  0.9948342E+00

       200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       200      1 -0.1730435E-01  0.0000000E+00  0.9998503E+00
       200      2  0.7583181E-02  0.0000000E+00  0.9999712E+00
       200      3  0.3245928E-01  0.0000000E+00  0.9994731E+00
       200      4  0.1068362E+00  0.0000000E+00  0.9942766E+00

       210      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       210      1 -0.1816948E-01  0.0000000E+00  0.9998349E+00
       210      2  0.7963773E-02  0.0000000E+00  0.9999683E+00
       210      3  0.3408454E-01  0.0000000E+00  0.9994190E+00
       210      4  0.1121544E+00  0.0000000E+00  0.9936908E+00

       220      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       220      1 -0.1903459E-01  0.0000000E+00  0.9998188E+00
       220      2  0.8344635E-02  0.0000000E+00  0.9999652E+00
       220      3  0.3570949E-01  0.0000000E+00  0.9993622E+00
       220      4  0.1174677E+00  0.0000000E+00  0.9930767E+00

       230      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       230      1 -0.1989969E-01  0.0000000E+00  0.9998020E+00
       230      2  0.8725842E-02  0.0000000E+00  0.9999619E+00
       230      3  0.3733440E-01  0.0000000E+00  0.9993028E+00
       230      4  0.1227760E+00  0.0000000E+00  0.9924344E+00

       240      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       240      1 -0.2076477E-01  0.0000000E+00  0.9997844E+00
       240      2  0.9107200E-02  0.0000000E+00  0.9999585E+00
       240      3  0.3895968E-01  0.0000000E+00  0.9992408E+00
       240      4  0.1280796E+00  0.0000000E+00  0.9917639E+00

       250      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       250      1 -0.2162984E-01  0.0000000E+00  0.9997660E+00
       250      2  0.9488486E-02  0.0000000E+00  0.9999550E+00
       250      3  0.4058537E-01  0.0000000E+00  0.9991761E+00
