# number of spin vectors:       5
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1 -0.8652609E-04  0.0000000E+00  0.1000000E+01
         1      2  0.3769086E-04  0.0000000E+00  0.1000000E+01
         1      3  0.1618834E-03  0.0000000E+00  0.1000000E+01
         1      4  0.5343147E-03  0.0000000E+00  0.9999999E+00
