I SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 0.1919960449474581E-007 0.4969101280648359E-006 0.2006233199945681E-005
 2.000000000000000 0.1609995060146282E-007 0.4178622267581570E-006 0.1682258824845933E-005
 3.000000000000000 0.1300472354092117E-007 0.3393676794909452E-006 0.1362711282008729E-005
 4.000000000000000 0.9913923311368574E-008 0.2614264861730987E-006 0.1047590570842189E-005
 5.000000000000000 0.6827549914255141E-008 0.1840386469274571E-006 0.7368966922705965E-006
 6.000000000000000 0.3745603351243601E-008 0.1072041617076386E-006 0.4306296456686639E-006
 7.000000000000000 0.6680836194313824E-009 0.3092303051736041E-007 0.1287894314326723E-006
 8.000000000000000 -.2405009283048586E-008 -.4480474675069654E-007 -.1686239511698463E-006
 9.000000000000000 -.5473675348224667E-008 -.1199791698804635E-006 -.4616105011907066E-006
 10.00000000000000 -.8537914584630080E-008 -.1946002390609183E-006 -.7501702192641217E-006
 11.00000000000000 -.1159772699186672E-007 -.2686679543130657E-006 -.1034303105628863E-005
 12.00000000000000 -.1465311256442549E-007 -.3421823154723473E-006 -.1314009159492565E-005
 13.00000000000000 -.1770407131261922E-007 -.4151433228154542E-006 -.1589288382056316E-005
 14.00000000000000 -.2075060321471961E-007 -.4875509757913494E-006 -.1860140771076836E-005
 15.00000000000000 -.2379270829061055E-007 -.5594052749216933E-006 -.2126566328763554E-005
 16.00000000000000 -.2683038653439458E-007 -.6307062200280426E-006 -.2388565054247673E-005
 17.00000000000000 -.2986363795160069E-007 -.7014538111986837E-006 -.2646136947632706E-005
 18.00000000000000 -.3289246252028375E-007 -.7716480480317781E-006 -.2899282008045176E-005
 19.00000000000000 -.3591686026753124E-007 -.8412889310938518E-006 -.3148000237197895E-005
 20.00000000000000 -.3893683118295705E-007 -.9103764600865156E-006 -.3392291633703630E-005
 21.00000000000000 -.4195237525977305E-007 -.9789106350391460E-006 -.3632156198675300E-005
 22.00000000000000 -.4496349252822173E-007 -.1046891456393521E-005 -.3867593932308615E-005
 23.00000000000000 -.4797018292434318E-007 -.1114318922792611E-005 -.4098604830385220E-005
 24.00000000000000 -.5097244652845053E-007 -.1181193036188029E-005 -.4325188900430597E-005
 25.00000000000000 -.5397028326666389E-007 -.1247513794802813E-005 -.4547346135686956E-005
 26.00000000000000 -.5696369320430853E-007 -.1313281200163407E-005 -.4765076541726707E-005
 27.00000000000000 -.5995267628962907E-007 -.1378495250933059E-005 -.4978380112988528E-005
 28.00000000000000 -.6293723254261357E-007 -.1443155947758780E-005 -.5187256852796948E-005
 29.00000000000000 -.6591736197514145E-007 -.1507263290776086E-005 -.5391706760886714E-005
 30.00000000000000 -.6889306458488231E-007 -.1570817279916089E-005 -.5591729836929138E-005
