I SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 0.1622433776238262E-007 0.4047502301047229E-006 0.1618322910134805E-005
 2.000000000000000 0.1426345087721908E-007 0.3557348069467280E-006 0.1422294962358256E-005
 3.000000000000000 0.1230256399578332E-007 0.3067193843958919E-006 0.1226267019580228E-005
 4.000000000000000 0.1034167712496576E-007 0.2577039626779472E-006 0.1030239082970903E-005
 5.000000000000000 0.8380790251326091E-008 0.2086885413773196E-006 0.8342111504702363E-006
 6.000000000000000 0.6419903388287678E-008 0.1596731207878341E-006 0.6381832230446464E-006
 7.000000000000000 0.4459016526823264E-008 0.1106577008060757E-006 0.4421553008918935E-006
 8.000000000000000 0.2498129670626972E-008 0.6164228141775382E-007 0.2461273834215181E-006
 9.000000000000000 0.5372428215034052E-009 0.1262686276689783E-007 0.5009947170426919E-007
 10.00000000000000 -.1423644018586132E-008 -.3638855519538411E-007 -.1459284349450664E-006
 11.00000000000000 -.3384530862132622E-008 -.8540397270068669E-007 -.3419563370495052E-006
 12.00000000000000 -.5345417695811602E-008 -.1344193894582260E-006 -.5379842336574649E-006
 13.00000000000000 -.7306304523675066E-008 -.1834348055832599E-006 -.7340121252998348E-006
 14.00000000000000 -.9267191347771351E-008 -.2324502210945979E-006 -.9300400118898456E-006
 15.00000000000000 -.1122807816485145E-007 -.2814656359257050E-006 -.1126067893234790E-005
 16.00000000000000 -.1318896498091278E-007 -.3304810502300424E-006 -.1322095769966182E-005
 17.00000000000000 -.1514985178189015E-007 -.3794964636173065E-006 -.1518123640329369E-005
 18.00000000000000 -.1711073859861343E-007 -.4285118769405296E-006 -.1714151508147989E-005
 19.00000000000000 -.1907162540116543E-007 -.4775272893760287E-006 -.1910179369748462E-005
 20.00000000000000 -.2103251219401594E-007 -.5265427010741274E-006 -.2106207225925035E-005
 21.00000000000000 -.2299339897786800E-007 -.5755581120189179E-006 -.2302235076446650E-005
 22.00000000000000 -.2495428576336711E-007 -.6245735225387370E-006 -.2498262922937622E-005
 23.00000000000000 -.2691517254289887E-007 -.6735889323753001E-006 -.2694290764025224E-005
 24.00000000000000 -.2887605930226215E-007 -.7226043411106798E-006 -.2890318597723218E-005
 25.00000000000000 -.3083694608110061E-007 -.7716197499257227E-006 -.3086346429703816E-005
 26.00000000000000 -.3279783283715072E-007 -.8206351576790594E-006 -.3282374254977585E-005
 27.00000000000000 -.3475871961082059E-007 -.8696505652943379E-006 -.3478402076806364E-005
 28.00000000000000 -.3671960635358371E-007 -.9186659716013467E-006 -.3674429890724033E-005
 29.00000000000000 -.3868049309844557E-007 -.9676813777096952E-006 -.3870457702591451E-005
 30.00000000000000 -.4064137984472049E-007 -.1016696783035918E-005 -.4066485507243082E-005
