# number of rays:       5
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      3  0.0000000E+00  0.0000000E+00  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      4  0.0000000E+00  0.0000000E+00  0.5000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      2  0.3854053E-08 -0.1599698E-06 -0.2195216E-02 -0.3936712E-03 -0.2479529E-03  0.1552464E-08
        10      3  0.2596348E-07 -0.6382242E-06 -0.4395763E-02 -0.7853355E-03 -0.9918064E-03  0.6202052E-08
        10      4  0.6422363E-06 -0.3909350E-05 -0.1106351E-01 -0.1924811E-02 -0.6198519E-02  0.3844005E-07

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      2 -0.5883807E-06  0.1416247E-06  0.3291967E-03  0.2383662E-03 -0.4938261E-03  0.3505405E-08
        20      3 -0.2378767E-05  0.5505149E-06  0.7277439E-03  0.4873270E-03 -0.1975259E-02  0.1402552E-07
        20      4 -0.1590487E-04  0.2697462E-05  0.3017437E-02  0.1394796E-02 -0.1234332E-01  0.8771729E-07

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      2  0.3375797E-06  0.2749945E-06  0.1995886E-02  0.2493394E-03 -0.7376581E-03  0.4881928E-08
        30      3  0.1335088E-05  0.1141667E-05  0.3944147E-02  0.4829147E-03 -0.2950609E-02  0.1953994E-07
        30      4  0.7240703E-05  0.8930679E-05  0.8876080E-02  0.9137194E-03 -0.1843998E-01  0.1228776E-06

        40      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      2  0.5191342E-06 -0.3272413E-06 -0.1537705E-02 -0.3893419E-03 -0.9788454E-03  0.6799486E-08
        40      3  0.2180668E-05 -0.1346947E-05 -0.3175290E-02 -0.7870076E-03 -0.3915328E-02  0.2716200E-07
        40      4  0.1872165E-04 -0.9650197E-05 -0.9451048E-02 -0.2057258E-02 -0.2446880E-01  0.1680247E-06

        50      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      2 -0.9188357E-07  0.1392566E-07 -0.1064801E-02 -0.1359277E-04 -0.1218408E-02  0.8409752E-08
        50      3 -0.4812600E-06  0.3144726E-07 -0.1973684E-02  0.5463714E-05 -0.4873539E-02  0.3368946E-07
        50      4 -0.7616178E-05 -0.1799583E-05 -0.2026224E-02  0.5771725E-03 -0.3045502E-01  0.2125616E-06

        60      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
