# number of rays:       5
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      3  0.0000000E+00  0.0000000E+00  0.2000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      4  0.0000000E+00  0.0000000E+00  0.5000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      2  0.1768140E-05  0.2494339E-06 -0.2221841E-02 -0.3621115E-03 -0.1838714E-04 -0.2648984E-13
         1      3  0.7073756E-05  0.9972626E-06 -0.4443434E-02 -0.7240056E-03 -0.7354479E-04 -0.4237454E-12
         1      4  0.4426311E-04  0.6212128E-05 -0.1110418E-01 -0.1806198E-02 -0.4594879E-03 -0.1652725E-10
