# number of spin vectors:       5
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01

        10      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        10      1 -0.8730181E-03  0.0000000E+00  0.9999996E+00
        10      2 -0.5675190E-03  0.0000000E+00  0.9999998E+00
        10      3 -0.2646773E-03  0.0000000E+00  0.1000000E+01
        10      4  0.6309849E-03  0.0000000E+00  0.9999998E+00

        20      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        20      1 -0.1746035E-02  0.0000000E+00  0.9999985E+00
        20      2 -0.2163359E-02  0.0000000E+00  0.9999977E+00
        20      3 -0.2587417E-02  0.0000000E+00  0.9999967E+00
        20      4 -0.3899114E-02  0.0000000E+00  0.9999924E+00

        30      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        30      1 -0.2619052E-02  0.0000000E+00  0.9999966E+00
        30      2 -0.2370323E-02  0.0000000E+00  0.9999972E+00
        30      3 -0.2131948E-02  0.0000000E+00  0.9999977E+00
        30      4 -0.1490348E-02  0.0000000E+00  0.9999989E+00

        40      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        40      1 -0.3492066E-02  0.0000000E+00  0.9999939E+00
        40      2 -0.3425382E-02  0.0000000E+00  0.9999941E+00
        40      3 -0.3368483E-02  0.0000000E+00  0.9999943E+00
        40      4 -0.3238335E-02  0.0000000E+00  0.9999948E+00

        50      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        50      1 -0.4365077E-02  0.0000000E+00  0.9999905E+00
        50      2 -0.4723513E-02  0.0000000E+00  0.9999888E+00
        50      3 -0.5099384E-02  0.0000000E+00  0.9999870E+00
        50      4 -0.6344170E-02  0.0000000E+00  0.9999799E+00

        60      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        60      1 -0.5238085E-02  0.0000000E+00  0.9999863E+00
        60      2 -0.4845389E-02  0.0000000E+00  0.9999883E+00
        60      3 -0.4471929E-02  0.0000000E+00  0.9999900E+00
        60      4 -0.3475133E-02  0.0000000E+00  0.9999940E+00

        70      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        70      1 -0.6111089E-02  0.0000000E+00  0.9999813E+00
        70      2 -0.6313252E-02  0.0000000E+00  0.9999801E+00
        70      3 -0.6533070E-02  0.0000000E+00  0.9999787E+00
        70      4 -0.7268923E-02  0.0000000E+00  0.9999736E+00

        80      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        80      1 -0.6984089E-02  0.0000000E+00  0.9999756E+00
        80      2 -0.7137969E-02  0.0000000E+00  0.9999745E+00
        80      3 -0.7319831E-02  0.0000000E+00  0.9999732E+00
        80      4 -0.8069013E-02  0.0000000E+00  0.9999674E+00

        90      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
        90      1 -0.7857083E-02  0.0000000E+00  0.9999691E+00
        90      2 -0.7486329E-02  0.0000000E+00  0.9999720E+00
        90      3 -0.7141063E-02  0.0000000E+00  0.9999745E+00
        90      4 -0.6244117E-02  0.0000000E+00  0.9999805E+00

       100      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       100      1 -0.8730071E-02  0.0000000E+00  0.9999619E+00
       100      2 -0.9121727E-02  0.0000000E+00  0.9999584E+00
       100      3 -0.9541293E-02  0.0000000E+00  0.9999545E+00
       100      4 -0.1094565E-01  0.0000000E+00  0.9999401E+00

       110      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       110      1 -0.9603052E-02  0.0000000E+00  0.9999539E+00
       110      2 -0.9493493E-02  0.0000000E+00  0.9999549E+00
       110      3 -0.9421311E-02  0.0000000E+00  0.9999556E+00
       110      4 -0.9479775E-02  0.0000000E+00  0.9999551E+00

       120      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       120      1 -0.1047603E-01  0.0000000E+00  0.9999451E+00
       120      2 -0.1028572E-01  0.0000000E+00  0.9999471E+00
       120      3 -0.1012538E-01  0.0000000E+00  0.9999487E+00
       120      4 -0.9777803E-02  0.0000000E+00  0.9999522E+00

       130      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       130      1 -0.1134899E-01  0.0000000E+00  0.9999356E+00
       130      2 -0.1177385E-01  0.0000000E+00  0.9999307E+00
       130      3 -0.1223879E-01  0.0000000E+00  0.9999251E+00
       130      4 -0.1388446E-01  0.0000000E+00  0.9999036E+00

       140      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       140      1 -0.1222195E-01  0.0000000E+00  0.9999253E+00
       140      2 -0.1190101E-01  0.0000000E+00  0.9999292E+00
       140      3 -0.1162452E-01  0.0000000E+00  0.9999324E+00
       140      4 -0.1110303E-01  0.0000000E+00  0.9999384E+00

       150      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       150      1 -0.1309490E-01  0.0000000E+00  0.9999143E+00
       150      2 -0.1317083E-01  0.0000000E+00  0.9999133E+00
       150      3 -0.1328222E-01  0.0000000E+00  0.9999118E+00
       150      4 -0.1375948E-01  0.0000000E+00  0.9999053E+00

       160      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       160      1 -0.1396784E-01  0.0000000E+00  0.9999024E+00
       160      2 -0.1425738E-01  0.0000000E+00  0.9998984E+00
       160      3 -0.1459917E-01  0.0000000E+00  0.9998934E+00
       160      4 -0.1599387E-01  0.0000000E+00  0.9998721E+00

       170      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       170      1 -0.1484076E-01  0.0000000E+00  0.9998899E+00
       170      2 -0.1444946E-01  0.0000000E+00  0.9998956E+00
       170      3 -0.1410647E-01  0.0000000E+00  0.9999005E+00
       170      4 -0.1337044E-01  0.0000000E+00  0.9999106E+00

       180      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       180      1 -0.1571368E-01  0.0000000E+00  0.9998765E+00
       180      2 -0.1603332E-01  0.0000000E+00  0.9998715E+00
       180      3 -0.1639753E-01  0.0000000E+00  0.9998656E+00
       180      4 -0.1769331E-01  0.0000000E+00  0.9998435E+00

       190      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       190      1 -0.1658658E-01  0.0000000E+00  0.9998624E+00
       190      2 -0.1663012E-01  0.0000000E+00  0.9998617E+00
       190      3 -0.1673607E-01  0.0000000E+00  0.9998599E+00
       190      4 -0.1751910E-01  0.0000000E+00  0.9998465E+00

       200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       200      1 -0.1745948E-01  0.0000000E+00  0.9998476E+00
       200      2 -0.1716928E-01  0.0000000E+00  0.9998526E+00
       200      3 -0.1692884E-01  0.0000000E+00  0.9998567E+00
       200      4 -0.1645361E-01  0.0000000E+00  0.9998646E+00

       210      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       210      1 -0.1833235E-01  0.0000000E+00  0.9998319E+00
       210      2 -0.1877377E-01  0.0000000E+00  0.9998238E+00
       210      3 -0.1927266E-01  0.0000000E+00  0.9998143E+00
       210      4 -0.2109300E-01  0.0000000E+00  0.9997775E+00

       220      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       220      1 -0.1920522E-01  0.0000000E+00  0.9998156E+00
       220      2 -0.1899574E-01  0.0000000E+00  0.9998196E+00
       220      3 -0.1885533E-01  0.0000000E+00  0.9998222E+00
       220      4 -0.1893983E-01  0.0000000E+00  0.9998206E+00

       230      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       230      1 -0.2007807E-01  0.0000000E+00  0.9997984E+00
       230      2 -0.2002021E-01  0.0000000E+00  0.9997996E+00
       230      3 -0.2001416E-01  0.0000000E+00  0.9997997E+00
       230      4 -0.2020582E-01  0.0000000E+00  0.9997958E+00

       240      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       240      1 -0.2095090E-01  0.0000000E+00  0.9997805E+00
       240      2 -0.2134300E-01  0.0000000E+00  0.9997722E+00
       240      3 -0.2180689E-01  0.0000000E+00  0.9997622E+00
       240      4 -0.2367780E-01  0.0000000E+00  0.9997196E+00

       250      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
