I SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 -.5409850874649874E-007 -.1353225448030848E-005 -.5416715442269938E-005
 2.000000000000000 -.4353850089483524E-007 -.1095426515720747E-005 -.4416526032876254E-005
 3.000000000000000 -.3294745431082352E-007 -.8337477417647704E-006 -.3385297890314692E-005
 4.000000000000000 -.2232536899359622E-007 -.5681891261646518E-006 -.2323031014587855E-005
 5.000000000000000 -.1167224494228597E-007 -.2987506689169223E-006 -.1229725405695742E-005
 6.000000000000000 -.9880821586275013E-009 -.2543237002331639E-007 -.1053810636348837E-006
 7.000000000000000 0.9727119358246550E-008 0.2517657705152984E-006 0.1050002011592985E-005
 8.000000000000000 0.2047335960746882E-007 0.5328437526997895E-006 0.2236423819985262E-005
 9.000000000000000 0.3125063859164140E-007 0.8178015765310243E-006 0.3453884361544549E-005
 10.00000000000000 0.4205895630816220E-007 0.1106639242006401E-005 0.4702383636271713E-005
 11.00000000000000 0.5289831275789858E-007 0.1399356749128521E-005 0.5981921644165888E-005
 12.00000000000000 0.6376870793998318E-007 0.1695954097896517E-005 0.7292498385222737E-005
 13.00000000000000 0.7467014185701809E-007 0.1996431288310389E-005 0.8634113859449198E-005
 14.00000000000000 0.8560261450553386E-007 0.2300788320370138E-005 0.1000676806684093E-004
 15.00000000000000 0.9656612588813257E-007 0.2609025194074896E-005 0.1141046100740055E-004
 16.00000000000000 0.1075606760030795E-006 0.2921141909426397E-005 0.1284519268112631E-004
 17.00000000000000 0.1185862648521094E-006 0.3237138466423775E-005 0.1431096308801821E-004
 18.00000000000000 0.1296428924334875E-006 0.3557014865066162E-005 0.1580777222807365E-004
 19.00000000000000 0.1407305587489485E-006 0.3880771105355292E-005 0.1733562010130130E-004
 20.00000000000000 0.1518492637976251E-006 0.4208407187288564E-005 0.1889450670769077E-004
 21.00000000000000 0.1629990075786500E-006 0.4539923110869447E-005 0.2048443204724724E-004
 22.00000000000000 0.1741797900928904E-006 0.4875318876096206E-005 0.2210539611997419E-004
 23.00000000000000 0.1853916113403464E-006 0.5214594482967107E-005 0.2375739892586208E-004
 24.00000000000000 0.1966344713218854E-006 0.5557749931483884E-005 0.2544044046491872E-004
 25.00000000000000 0.2079083700349052E-006 0.5904785221648272E-005 0.2715452073714583E-004
 26.00000000000000 0.2192133074820080E-006 0.6255700353457669E-005 0.2889963974253562E-004
 27.00000000000000 0.2305492836623263E-006 0.6610495326913809E-005 0.3067579748109589E-004
 28.00000000000000 0.2419162985767276E-006 0.6969170142014959E-005 0.3248299395282143E-004
 29.00000000000000 0.2533143522226097E-006 0.7331724798760250E-005 0.3432122915770618E-004
 30.00000000000000 0.2647434446025748E-006 0.7698159297154020E-005 0.3619050309577095E-004
