I SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 -.2201622343201565E-007 -.5515117678571488E-006 -.2211051714608942E-005
 2.000000000000000 -.1881087937520416E-007 -.4699441668542936E-006 -.1877611312684859E-005
 3.000000000000000 -.1560991105351677E-007 -.3889235817147320E-006 -.1548547086640567E-005
 4.000000000000000 -.1241331932183844E-007 -.3084500340938406E-006 -.1223859124511371E-005
 5.000000000000000 -.9221103785971881E-008 -.2285235140096375E-006 -.9035473857368214E-006
 6.000000000000000 -.6033264478937829E-008 -.1491440222960183E-006 -.5876118736945724E-006
 7.000000000000000 -.2849801245293881E-008 -.7031155607525123E-007 -.2760525774874133E-006
 8.000000000000000 0.3292855899313996E-009 0.7973879512898329E-008 0.3113048397788444E-007
 9.000000000000000 0.3503996255940046E-008 0.8571228722638150E-007 0.3339373201481945E-006
 10.00000000000000 0.6674330648763846E-008 0.1629036664207688E-006 0.6323679294610766E-006
 11.00000000000000 0.9840288828742038E-008 0.2395480157728221E-006 0.9264223054658716E-006
 12.00000000000000 0.1300187100751258E-007 0.3156453431564019E-006 0.1216100479571874E-005
 13.00000000000000 0.1615907675118624E-007 0.3911956371894388E-006 0.1501402407910167E-005
 14.00000000000000 0.1931190625947643E-007 0.4661989026954652E-006 0.1782328108928052E-005
 15.00000000000000 0.2246035956598666E-007 0.5406551402715156E-006 0.2058877584762821E-005
 16.00000000000000 0.2560443668061195E-007 0.6145643498288245E-006 0.2331050834910878E-005
 17.00000000000000 0.2874413748265859E-007 0.6879265306833109E-006 0.2598847857919870E-005
 18.00000000000000 0.3187946212429266E-007 0.7607416838458309E-006 0.2862268656178230E-005
 19.00000000000000 0.3501041058651520E-007 0.8330098088738436E-006 0.3121313228078257E-005
 20.00000000000000 0.3813698270481718E-007 0.9047309044734045E-006 0.3375981570226223E-005
 21.00000000000000 0.4125917863029571E-007 0.9759049720302290E-006 0.3626273686588419E-005
 22.00000000000000 0.4437699833206460E-007 0.1046532011144138E-005 0.3872189575891548E-005
 23.00000000000000 0.4749044182476564E-007 0.1116612022347756E-005 0.4113729240137415E-005
 24.00000000000000 0.5059950908765839E-007 0.1186145005142246E-005 0.4350892677426435E-005
 25.00000000000000 0.5370420012659924E-007 0.1255130959683152E-005 0.4583679888426815E-005
 26.00000000000000 0.5680451474527305E-007 0.1323569881638443E-005 0.4812090858690116E-005
 27.00000000000000 0.5990045332565442E-007 0.1391461779250332E-005 0.5036125615613815E-005
 28.00000000000000 0.6299201567726935E-007 0.1458806648693678E-005 0.5255784146651989E-005
 29.00000000000000 0.6607920184634043E-007 0.1525604490122617E-005 0.5471066451839036E-005
 30.00000000000000 0.6916201170365955E-007 0.1591855302888697E-005 0.5681972530144170E-005
