# number of spin vectors:       5
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      3  0.0000000E+00  0.0000000E+00  0.1000000E+01
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E+01

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1 -0.4358634E-01  0.0000000E+00  0.9990497E+00
         1      2 -0.4243965E-01  0.0000000E+00  0.9990990E+00
         1      3 -0.3799500E-01  0.0000000E+00  0.9992779E+00
         1      4 -0.3149203E-01  0.0000000E+00  0.9995040E+00
