I SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 -.1182541455790539E-006 -.2956353639467675E-005 -.1182541455787330E-004
 2.000000000000000 -.1130493241362912E-006 -.2826233103414219E-005 -.1130493241365774E-004
 3.000000000000000 -.1078445026943958E-006 -.2696112567362498E-005 -.1078445026944999E-004
 4.000000000000000 -.1026396812525004E-006 -.2565992031308174E-005 -.1026396812523443E-004
 5.000000000000000 -.9743485980973771E-007 -.2435871495254718E-005 -.9743485981021476E-005
 6.000000000000000 -.9223003836784233E-007 -.2305750959202130E-005 -.9223003836811121E-005
 7.000000000000000 -.8702521692594695E-007 -.2175630423149541E-005 -.8702521692598164E-005
 8.000000000000000 -.8182039548405157E-007 -.2045509887096952E-005 -.8182039548388677E-005
 9.000000000000000 -.7661557404128883E-007 -.1915389351043496E-005 -.7661557404176587E-005
 10.00000000000000 -.7141075259939345E-007 -.1785268814991775E-005 -.7141075259968835E-005
 11.00000000000000 -.6620593115749807E-007 -.1655148278937452E-005 -.6620593115753276E-005
 12.00000000000000 -.6100110971560269E-007 -.1525027742885730E-005 -.6100110971545523E-005
 13.00000000000000 -.5579628827283994E-007 -.1394907206831407E-005 -.5579628827329097E-005
 14.00000000000000 -.5059146683094456E-007 -.1264786670777951E-005 -.5059146683114406E-005
 15.00000000000000 -.4538664538904918E-007 -.1134666134725362E-005 -.4538664538905786E-005
 16.00000000000000 -.4018182394715381E-007 -.1004545598671039E-005 -.4018182394689360E-005
 17.00000000000000 -.3497700250439106E-007 -.8744250626193176E-006 -.3497700250482474E-005
 18.00000000000000 -.2977218106249568E-007 -.7443045265658615E-006 -.2977218106267783E-005
 19.00000000000000 -.2456735962060030E-007 -.6141839905132729E-006 -.2456735962057428E-005
 20.00000000000000 -.1936253817870492E-007 -.4840634544624189E-006 -.1936253817853145E-005
 21.00000000000000 -.1415771673594218E-007 -.3539429184072282E-006 -.1415771673633250E-005
 22.00000000000000 -.8952895294046803E-008 -.2238223823546395E-006 -.8952895294237623E-006
 23.00000000000000 -.3748073852151423E-008 -.9370184629944878E-007 -.3748073852047340E-006
 24.00000000000000 0.1456747590611318E-008 0.3641868975487461E-007 0.1456747590116922E-006
 25.00000000000000 0.6661569032506698E-008 0.1665392258057286E-006 0.6661569032159753E-006
 26.00000000000000 0.1186639047440208E-007 0.2966597618565825E-006 0.1186639047416789E-005
 27.00000000000000 0.1707121191629746E-007 0.4267802979126406E-006 0.1707121191643624E-005
 28.00000000000000 0.2227603335906020E-007 0.5569008339643619E-006 0.2227603335847907E-005
 29.00000000000000 0.2748085480095558E-007 0.6870213700169506E-006 0.2748085480058261E-005
 30.00000000000000 0.3268567624285096E-007 0.8171419060678045E-006 0.3268567624262544E-005
