I SPIN-TUNE(1) SPIN-TUNE(2) SPIN-TUNE(3)
 1.000000000000000 0.7688432886845839E-007 0.3075022371111464E-006 0.1921701842752310E-005
 2.000000000000000 0.7487210257151297E-007 0.2994534289198531E-006 0.1871398610240882E-005
 3.000000000000000 0.7285987494167670E-007 0.2914046173437516E-006 0.1821095364789273E-005
 4.000000000000000 0.7084764947048421E-007 0.2833558100286349E-006 0.1770792120537580E-005
 5.000000000000000 0.6883542295750769E-007 0.2753070005070910E-006 0.1720488870972221E-005
 6.000000000000000 0.6682319542747753E-007 0.2672581888368560E-006 0.1670185615681808E-005
 7.000000000000000 0.6481096962392858E-007 0.2592093800266037E-006 0.1619882355292521E-005
 8.000000000000000 0.6279874310397313E-007 0.2511605697296340E-006 0.1569579090550894E-005
 9.000000000000000 0.6078651640824968E-007 0.2431117588454174E-006 0.1519275820624745E-005
 10.00000000000000 0.5877428944690028E-007 0.2350629470103982E-006 0.1468972543164436E-005
 11.00000000000000 0.5676206295493484E-007 0.2270141363605461E-006 0.1418669267501589E-005
 12.00000000000000 0.5474983601803696E-007 0.2189653240428325E-006 0.1368365979826069E-005
 13.00000000000000 0.5273760918130813E-007 0.2109165119681303E-006 0.1318062690713167E-005
 14.00000000000000 0.5072538230602195E-007 0.2028676995809607E-006 0.1267759396680410E-005
 15.00000000000000 0.4871315560318976E-007 0.1948188872182694E-006 0.1217456097452295E-005
 16.00000000000000 0.4670092830929312E-007 0.1867700736172103E-006 0.1167152793655335E-005
 17.00000000000000 0.4468870046849081E-007 0.1787212586565074E-006 0.1116849483097109E-005
 18.00000000000000 0.4267647341348498E-007 0.1706724449220234E-006 0.1066546168860447E-005
 19.00000000000000 0.4066424716094314E-007 0.1626236324950244E-006 0.1016242851726946E-005
 20.00000000000000 0.3865202038084800E-007 0.1545748187894877E-006 0.9659395284083753E-006
 21.00000000000000 0.3663979299866151E-007 0.1465260037856362E-006 0.9156361998493188E-006
 22.00000000000000 0.3462756486593670E-007 0.1384771870974280E-006 0.8653328643116780E-006
 23.00000000000000 0.3261533856841741E-007 0.1304283736409002E-006 0.8150295284992306E-006
 24.00000000000000 0.3060311128779377E-007 0.1223795580453379E-006 0.7647261846569486E-006
 25.00000000000000 0.2859088397572022E-007 0.1143307421761338E-006 0.7144228363323668E-006
 26.00000000000000 0.2657865675813574E-007 0.1062819266182138E-006 0.6641194887031965E-006
 27.00000000000000 0.2456642959335148E-007 0.9823311051198632E-007 0.6138161305330908E-006
 28.00000000000000 0.2255420216558191E-007 0.9018429374077953E-007 0.5635127683356384E-006
 29.00000000000000 0.2054197435727411E-007 0.8213547599084333E-007 0.5132093993975891E-006
 30.00000000000000 0.1852974693361435E-007 0.7408665862740995E-007 0.4629060257722073E-006
 31.00000000000000 0.1651751848032061E-007 0.6603783922349263E-007 0.4126026463844953E-006
 32.00000000000000 0.1450529182838536E-007 0.5798902303401537E-007 0.3622992688295199E-006
 33.00000000000000 0.1249306419673010E-007 0.4994020465106561E-007 0.3119958816299091E-006
 34.00000000000000 0.1048083653276857E-007 0.4189138601953243E-007 0.2616924906386972E-006
 35.00000000000000 0.8468608752604499E-008 0.3384256689214574E-007 0.2113890922802856E-006
