# number of rays:       5
# iteration   ray    X              A              Y              B              T              D
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      2  0.0000000E+00  0.0000000E+00  0.1000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      3  0.0000000E+00  0.0000000E+00  0.5000000E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      4  0.0000000E+00  0.0000000E+00  0.1000000E-01  0.0000000E+00  0.0000000E+00  0.0000000E+00

         1      0  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      1  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1      2 -0.8994961E-05  0.5421744E-05 -0.7281283E-03  0.1006069E-03 -0.1074831E-03 -0.9556512E-13
         1      3 -0.2246424E-03  0.1354345E-03 -0.3619423E-02  0.5102082E-03 -0.2689355E-02 -0.5969006E-10
         1      4 -0.8956613E-03  0.5403745E-03 -0.7106091E-02  0.1065251E-02 -0.1078563E-01 -0.9530897E-09
