# number of spin vectors:      32
# iteration vector   S_X            S_Y            S_Z
         0      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         0      1  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      2  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      3  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      4  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      5  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      6  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      7  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      8  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0      9  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     10  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     11  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     12  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     13  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     14  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     15  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     16  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     17  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     18  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     19  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     20  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     21  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     22  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     23  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     24  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     25  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     26  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     27  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     28  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     29  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     30  0.0000000E+00  0.7071068E+00  0.7071068E+00
         0     31  0.0000000E+00  0.7071068E+00  0.7071068E+00

       600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
       600      1 -0.1720502E-04  0.7071068E+00  0.7071068E+00
       600      2 -0.4463904E-04  0.7071068E+00  0.7071068E+00
       600      3  0.1698300E-04  0.7071092E+00  0.7071043E+00
       600      4 -0.7353998E-03  0.7071068E+00  0.7071064E+00
       600      5 -0.6962096E-04  0.7071068E+00  0.7071068E+00
       600      6  0.3452590E-05  0.7071086E+00  0.7071049E+00
       600      7 -0.7760536E-03  0.7071068E+00  0.7071064E+00
       600      8 -0.7698896E-04  0.7071068E+00  0.7071068E+00
       600      9 -0.6688822E-05  0.7071081E+00  0.7071055E+00
       600     10 -0.6568072E-03  0.7071068E+00  0.7071065E+00
       600     11 -0.6675861E-04  0.7071068E+00  0.7071068E+00
       600     12 -0.1343957E-04  0.7071076E+00  0.7071060E+00
       600     13 -0.4371138E-03  0.7071068E+00  0.7071066E+00
       600     14 -0.3841866E-04  0.7071068E+00  0.7071068E+00
       600     15 -0.1679818E-04  0.7071070E+00  0.7071065E+00
       600     16 -0.1629075E-03  0.7071068E+00  0.7071068E+00
       600     17  0.8861311E-05  0.7071068E+00  0.7071068E+00
       600     18 -0.1676332E-04  0.7071065E+00  0.7071070E+00
       600     19  0.1285004E-03  0.7071068E+00  0.7071068E+00
       600     20  0.7602961E-04  0.7071068E+00  0.7071068E+00
       600     21 -0.1333378E-04  0.7071060E+00  0.7071076E+00
       600     22  0.4027317E-03  0.7071068E+00  0.7071067E+00
       600     23  0.1639523E-03  0.7071068E+00  0.7071068E+00
       600     24 -0.6508435E-05  0.7071055E+00  0.7071081E+00
       600     25  0.6224817E-03  0.7071068E+00  0.7071065E+00
       600     26  0.2732057E-03  0.7071068E+00  0.7071067E+00
       600     27  0.3713802E-05  0.7071049E+00  0.7071086E+00
       600     28  0.7418340E-03  0.7071068E+00  0.7071064E+00
       600     29  0.4038548E-03  0.7071068E+00  0.7071067E+00
       600     30  0.1733399E-04  0.7071043E+00  0.7071092E+00
       600     31  0.7013700E-03  0.7071068E+00  0.7071064E+00

      1200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1200      1 -0.3441003E-04  0.7071068E+00  0.7071068E+00
      1200      2  0.4455302E-03  0.7071068E+00  0.7071066E+00
      1200      3  0.3386138E-04  0.7071116E+00  0.7071019E+00
      1200      4 -0.1393355E-02  0.7071068E+00  0.7071054E+00
      1200      5  0.2927090E-03  0.7071068E+00  0.7071067E+00
      1200      6  0.6791033E-05  0.7071105E+00  0.7071031E+00
      1200      7 -0.1385427E-02  0.7071068E+00  0.7071054E+00
      1200      8  0.1616836E-03  0.7071068E+00  0.7071068E+00
      1200      9 -0.1348363E-04  0.7071094E+00  0.7071042E+00
      1200     10 -0.1108820E-02  0.7071068E+00  0.7071059E+00
      1200     11  0.5830065E-04  0.7071068E+00  0.7071068E+00
      1200     12 -0.2695816E-04  0.7071083E+00  0.7071052E+00
      1200     13 -0.7085153E-03  0.7071068E+00  0.7071064E+00
      1200     14 -0.1252796E-04  0.7071068E+00  0.7071068E+00
      1200     15 -0.3362815E-04  0.7071073E+00  0.7071063E+00
      1200     16 -0.2625851E-03  0.7071068E+00  0.7071067E+00
      1200     17 -0.4661750E-04  0.7071068E+00  0.7071068E+00
      1200     18 -0.3348906E-04  0.7071063E+00  0.7071073E+00
      1200     19  0.1937729E-03  0.7071068E+00  0.7071068E+00
      1200     20 -0.4004558E-04  0.7071068E+00  0.7071068E+00
      1200     21 -0.2653610E-04  0.7071052E+00  0.7071083E+00
      1200     22  0.6397657E-03  0.7071068E+00  0.7071065E+00
      1200     23  0.1139220E-04  0.7071068E+00  0.7071068E+00
      1200     24 -0.1276412E-04  0.7071042E+00  0.7071094E+00
      1200     25  0.1040196E-02  0.7071068E+00  0.7071060E+00
      1200     26  0.1126483E-03  0.7071068E+00  0.7071068E+00
      1200     27  0.7832539E-05  0.7071031E+00  0.7071105E+00
      1200     28  0.1317005E-02  0.7071068E+00  0.7071056E+00
      1200     29  0.2696381E-03  0.7071068E+00  0.7071067E+00
      1200     30  0.3526021E-04  0.7071019E+00  0.7071116E+00
      1200     31  0.1325281E-02  0.7071068E+00  0.7071055E+00

      1800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      1800      1 -0.5161505E-04  0.7071068E+00  0.7071068E+00
      1800      2  0.7204515E-03  0.7071068E+00  0.7071064E+00
      1800      3  0.5073247E-04  0.7071140E+00  0.7070996E+00
      1800      4 -0.1882134E-02  0.7071068E+00  0.7071043E+00
      1800      5  0.4250501E-03  0.7071068E+00  0.7071067E+00
      1800      6  0.1007881E-04  0.7071123E+00  0.7071013E+00
      1800      7 -0.1683674E-02  0.7071068E+00  0.7071048E+00
      1800      8  0.2021161E-03  0.7071068E+00  0.7071068E+00
      1800      9 -0.2034984E-04  0.7071106E+00  0.7071029E+00
      1800     10 -0.1207217E-02  0.7071068E+00  0.7071058E+00
      1800     11  0.5088704E-04  0.7071068E+00  0.7071068E+00
      1800     12 -0.4054235E-04  0.7071091E+00  0.7071045E+00
      1800     13 -0.7078714E-03  0.7071068E+00  0.7071064E+00
      1800     14 -0.3302694E-04  0.7071068E+00  0.7071068E+00
      1800     15 -0.5048804E-04  0.7071075E+00  0.7071060E+00
      1800     16 -0.2611496E-03  0.7071068E+00  0.7071067E+00
      1800     17 -0.5572106E-04  0.7071068E+00  0.7071068E+00
      1800     18 -0.5017641E-04  0.7071060E+00  0.7071075E+00
      1800     19  0.1579341E-03  0.7071068E+00  0.7071068E+00
      1800     20 -0.2378487E-04  0.7071068E+00  0.7071068E+00
      1800     21 -0.3959679E-04  0.7071045E+00  0.7071091E+00
      1800     22  0.6047689E-03  0.7071068E+00  0.7071065E+00
      1800     23  0.5666697E-04  0.7071068E+00  0.7071068E+00
      1800     24 -0.1873809E-04  0.7071029E+00  0.7071106E+00
      1800     25  0.1104326E-02  0.7071068E+00  0.7071059E+00
      1800     26  0.1812831E-03  0.7071068E+00  0.7071068E+00
      1800     27  0.1241154E-04  0.7071013E+00  0.7071123E+00
      1800     28  0.1581084E-02  0.7071068E+00  0.7071050E+00
      1800     29  0.3495475E-03  0.7071068E+00  0.7071067E+00
      1800     30  0.5386493E-04  0.7070996E+00  0.7071140E+00
      1800     31  0.1780006E-02  0.7071068E+00  0.7071045E+00

      2400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      2400      1 -0.6882006E-04  0.7071068E+00  0.7071068E+00
      2400      2  0.5470783E-03  0.7071068E+00  0.7071066E+00
      2400      3  0.6678154E-04  0.7071163E+00  0.7070973E+00
      2400      4 -0.2150555E-02  0.7071068E+00  0.7071035E+00
      2400      5  0.2479976E-03  0.7071068E+00  0.7071067E+00
      2400      6  0.1282507E-04  0.7071140E+00  0.7070996E+00
      2400      7 -0.1611444E-02  0.7071068E+00  0.7071049E+00
      2400      8  0.5141768E-04  0.7071068E+00  0.7071068E+00
      2400      9 -0.2753638E-04  0.7071119E+00  0.7071017E+00
      2400     10 -0.9272490E-03  0.7071068E+00  0.7071062E+00
      2400     11 -0.5686301E-04  0.7071068E+00  0.7071068E+00
      2400     12 -0.5428060E-04  0.7071098E+00  0.7071038E+00
      2400     13 -0.4429831E-03  0.7071068E+00  0.7071066E+00
      2400     14 -0.8437527E-04  0.7071068E+00  0.7071068E+00
      2400     15 -0.6738707E-04  0.7071078E+00  0.7071058E+00
      2400     16 -0.1670322E-03  0.7071068E+00  0.7071068E+00
      2400     17 -0.3391048E-04  0.7071068E+00  0.7071068E+00
      2400     18 -0.6683640E-04  0.7071058E+00  0.7071078E+00
      2400     19  0.2941217E-04  0.7071068E+00  0.7071068E+00
      2400     20  0.9342179E-04  0.7071068E+00  0.7071068E+00
      2400     21 -0.5260985E-04  0.7071038E+00  0.7071098E+00
      2400     22  0.3055208E-03  0.7071068E+00  0.7071067E+00
      2400     23  0.2948468E-03  0.7071068E+00  0.7071067E+00
      2400     24 -0.2468881E-04  0.7071017E+00  0.7071119E+00
      2400     25  0.7900864E-03  0.7071068E+00  0.7071063E+00
      2400     26  0.5627002E-03  0.7071068E+00  0.7071066E+00
      2400     27  0.1694565E-04  0.7070996E+00  0.7071140E+00
      2400     28  0.1474697E-02  0.7071068E+00  0.7071052E+00
      2400     29  0.8822106E-03  0.7071068E+00  0.7071062E+00
      2400     30  0.7231338E-04  0.7070973E+00  0.7071163E+00
      2400     31  0.2014394E-02  0.7071068E+00  0.7071039E+00

      3000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      3000      1 -0.8602508E-04  0.7071068E+00  0.7071068E+00
      3000      2  0.7676194E-03  0.7071068E+00  0.7071064E+00
      3000      3  0.8254743E-04  0.7071184E+00  0.7070951E+00
      3000      4 -0.2186090E-02  0.7071068E+00  0.7071034E+00
      3000      5  0.4641101E-03  0.7071068E+00  0.7071066E+00
      3000      6  0.1534770E-04  0.7071157E+00  0.7070979E+00
      3000      7 -0.1198981E-02  0.7071068E+00  0.7071058E+00
      3000      8  0.2181921E-03  0.7071068E+00  0.7071067E+00
      3000      9 -0.3488314E-04  0.7071130E+00  0.7071005E+00
      3000     10 -0.3717900E-03  0.7071068E+00  0.7071067E+00
      3000     11  0.3689018E-04  0.7071068E+00  0.7071068E+00
      3000     12 -0.6811477E-04  0.7071105E+00  0.7071031E+00
      3000     13 -0.3087825E-04  0.7071068E+00  0.7071068E+00
      3000     14 -0.6710888E-04  0.7071068E+00  0.7071068E+00
      3000     15 -0.8431803E-04  0.7071080E+00  0.7071055E+00
      3000     16 -0.3065242E-04  0.7071068E+00  0.7071068E+00
      3000     17 -0.8078266E-04  0.7071068E+00  0.7071068E+00
      3000     18 -0.8346430E-04  0.7071056E+00  0.7071080E+00
      3000     19 -0.1413738E-03  0.7071068E+00  0.7071068E+00
      3000     20  0.8497752E-05  0.7071068E+00  0.7071068E+00
      3000     21 -0.6552475E-04  0.7071031E+00  0.7071105E+00
      3000     22 -0.1409588E-03  0.7071068E+00  0.7071068E+00
      3000     23  0.2138263E-03  0.7071068E+00  0.7071067E+00
      3000     24 -0.3046967E-04  0.7071005E+00  0.7071130E+00
      3000     25  0.2003186E-03  0.7071068E+00  0.7071068E+00
      3000     26  0.5481098E-03  0.7071068E+00  0.7071066E+00
      3000     27  0.2173242E-04  0.7070979E+00  0.7071157E+00
      3000     28  0.1028031E-02  0.7071068E+00  0.7071060E+00
      3000     29  0.1018854E-02  0.7071068E+00  0.7071060E+00
      3000     30  0.9111546E-04  0.7070951E+00  0.7071184E+00
      3000     31  0.2015855E-02  0.7071068E+00  0.7071039E+00

      3600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      3600      1 -0.1032301E-03  0.7071068E+00  0.7071068E+00
      3600      2  0.1280622E-02  0.7071068E+00  0.7071056E+00
      3600      3  0.9847584E-04  0.7071205E+00  0.7070931E+00
      3600      4 -0.1974075E-02  0.7071068E+00  0.7071040E+00
      3600      5  0.7823173E-03  0.7071068E+00  0.7071063E+00
      3600      6  0.1792772E-04  0.7071172E+00  0.7070963E+00
      3600      7 -0.5310734E-03  0.7071068E+00  0.7071066E+00
      3600      8  0.3777274E-03  0.7071068E+00  0.7071067E+00
      3600      9 -0.4224126E-04  0.7071141E+00  0.7070994E+00
      3600     10  0.2790653E-03  0.7071068E+00  0.7071067E+00
      3600     11  0.9215090E-04  0.7071068E+00  0.7071068E+00
      3600     12 -0.8198863E-04  0.7071111E+00  0.7071024E+00
      3600     13  0.3599510E-03  0.7071068E+00  0.7071067E+00
      3600     14 -0.6845329E-04  0.7071068E+00  0.7071068E+00
      3600     15 -0.1012736E-03  0.7071082E+00  0.7071053E+00
      3600     16  0.8162719E-04  0.7071068E+00  0.7071068E+00
      3600     17 -0.1090294E-03  0.7071068E+00  0.7071068E+00
      3600     18 -0.1000559E-03  0.7071053E+00  0.7071082E+00
      3600     19 -0.2880582E-03  0.7071068E+00  0.7071067E+00
      3600     20 -0.3779746E-04  0.7071068E+00  0.7071068E+00
      3600     21 -0.7829491E-04  0.7071024E+00  0.7071111E+00
      3600     22 -0.5661538E-03  0.7071068E+00  0.7071066E+00
      3600     23  0.1404306E-03  0.7071068E+00  0.7071068E+00
      3600     24 -0.3594848E-04  0.7070994E+00  0.7071141E+00
      3600     25 -0.4848371E-03  0.7071068E+00  0.7071066E+00
      3600     26  0.4320418E-03  0.7071068E+00  0.7071066E+00
      3600     27  0.2702797E-04  0.7070963E+00  0.7071172E+00
      3600     28  0.3259087E-03  0.7071068E+00  0.7071067E+00
      3600     29  0.8630620E-03  0.7071068E+00  0.7071063E+00
      3600     30  0.1106823E-03  0.7070931E+00  0.7071204E+00
      3600     31  0.1769741E-02  0.7071068E+00  0.7071046E+00

      4200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      4200      1 -0.1204351E-03  0.7071068E+00  0.7071068E+00
      4200      2  0.1279403E-02  0.7071068E+00  0.7071056E+00
      4200      3  0.1137392E-03  0.7071223E+00  0.7070912E+00
      4200      4 -0.1533626E-02  0.7071068E+00  0.7071051E+00
      4200      5  0.6517623E-03  0.7071068E+00  0.7071065E+00
      4200      6  0.2007208E-04  0.7071187E+00  0.7070949E+00
      4200      7  0.2413256E-03  0.7071068E+00  0.7071067E+00
      4200      8  0.2239318E-03  0.7071068E+00  0.7071067E+00
      4200      9 -0.4985770E-04  0.7071151E+00  0.7070984E+00
      4200     10  0.8086530E-03  0.7071068E+00  0.7071063E+00
      4200     11 -0.2760604E-04  0.7071068E+00  0.7071068E+00
      4200     12 -0.9598838E-04  0.7071118E+00  0.7071018E+00
      4200     13  0.5674113E-03  0.7071068E+00  0.7071066E+00
      4200     14 -0.1249964E-03  0.7071068E+00  0.7071068E+00
      4200     15 -0.1182620E-03  0.7071084E+00  0.7071051E+00
      4200     16  0.1133163E-03  0.7071068E+00  0.7071068E+00
      4200     17 -0.8202727E-04  0.7071068E+00  0.7071068E+00
      4200     18 -0.1166233E-03  0.7071051E+00  0.7071084E+00
      4200     19 -0.3541509E-03  0.7071068E+00  0.7071067E+00
      4200     20  0.9132843E-04  0.7071068E+00  0.7071068E+00
      4200     21 -0.9101809E-04  0.7071018E+00  0.7071118E+00
      4200     22 -0.8079678E-03  0.7071068E+00  0.7071063E+00
      4200     23  0.3810594E-03  0.7071068E+00  0.7071067E+00
      4200     24 -0.4139229E-04  0.7070984E+00  0.7071151E+00
      4200     25 -0.1048701E-02  0.7071068E+00  0.7071060E+00
      4200     26  0.7643440E-03  0.7071068E+00  0.7071064E+00
      4200     27  0.3230942E-04  0.7070949E+00  0.7071187E+00
      4200     28 -0.4807130E-03  0.7071068E+00  0.7071066E+00
      4200     29  0.1217032E-02  0.7071068E+00  0.7071057E+00
      4200     30  0.1301447E-03  0.7070912E+00  0.7071223E+00
      4200     31  0.1295144E-02  0.7071068E+00  0.7071056E+00

      4800      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      4800      1 -0.1376401E-03  0.7071068E+00  0.7071068E+00
      4800      2  0.1195269E-02  0.7071068E+00  0.7071058E+00
      4800      3  0.1285688E-03  0.7071240E+00  0.7070895E+00
      4800      4 -0.9329080E-03  0.7071068E+00  0.7071062E+00
      4800      5  0.6583682E-03  0.7071068E+00  0.7071065E+00
      4800      6  0.2190490E-04  0.7071200E+00  0.7070936E+00
      4800      7  0.9244342E-03  0.7071068E+00  0.7071062E+00
      4800      8  0.2738143E-03  0.7071068E+00  0.7071067E+00
      4800      9 -0.5767341E-04  0.7071161E+00  0.7070975E+00
      4800     10  0.1030574E-02  0.7071068E+00  0.7071060E+00
      4800     11  0.1180172E-04  0.7071068E+00  0.7071068E+00
      4800     12 -0.1100919E-03  0.7071123E+00  0.7071012E+00
      4800     13  0.4969076E-03  0.7071068E+00  0.7071066E+00
      4800     14 -0.1231352E-03  0.7071068E+00  0.7071068E+00
      4800     15 -0.1352796E-03  0.7071086E+00  0.7071049E+00
      4800     16  0.4127216E-04  0.7071068E+00  0.7071068E+00
      4800     17 -0.1134976E-03  0.7071068E+00  0.7071068E+00
      4800     18 -0.1331671E-03  0.7071049E+00  0.7071086E+00
      4800     19 -0.3165109E-03  0.7071068E+00  0.7071067E+00
      4800     20  0.6078253E-04  0.7071068E+00  0.7071068E+00
      4800     21 -0.1036856E-03  0.7071012E+00  0.7071123E+00
      4800     22 -0.7718135E-03  0.7071068E+00  0.7071064E+00
      4800     23  0.4174433E-03  0.7071068E+00  0.7071067E+00
      4800     24 -0.4676554E-04  0.7070975E+00  0.7071161E+00
      4800     25 -0.1304858E-02  0.7071068E+00  0.7071056E+00
      4800     26  0.9615367E-03  0.7071068E+00  0.7071061E+00
      4800     27  0.3766562E-04  0.7070936E+00  0.7071200E+00
      4800     28 -0.1198002E-02  0.7071068E+00  0.7071058E+00
      4800     29  0.1663185E-02  0.7071068E+00  0.7071048E+00
      4800     30  0.1496843E-03  0.7070896E+00  0.7071240E+00
      4800     31  0.6602125E-03  0.7071068E+00  0.7071065E+00

      5400      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      5400      1 -0.1548451E-03  0.7071068E+00  0.7071068E+00
      5400      2  0.1655941E-02  0.7071068E+00  0.7071048E+00
      5400      3  0.1436838E-03  0.7071255E+00  0.7070881E+00
      5400      4 -0.2381069E-03  0.7071068E+00  0.7071067E+00
      5400      5  0.1040689E-02  0.7071068E+00  0.7071060E+00
      5400      6  0.2387406E-04  0.7071211E+00  0.7070924E+00
      5400      7  0.1364298E-02  0.7071068E+00  0.7071055E+00
      5400      8  0.5096991E-03  0.7071068E+00  0.7071066E+00
      5400      9 -0.6545332E-04  0.7071169E+00  0.7070966E+00
      5400     10  0.8716826E-03  0.7071068E+00  0.7071062E+00
      5400     11  0.1165973E-03  0.7071068E+00  0.7071068E+00
      5400     12 -0.1242111E-03  0.7071128E+00  0.7071007E+00
      5400     13  0.1716945E-03  0.7071068E+00  0.7071068E+00
      5400     14 -0.1081694E-03  0.7071068E+00  0.7071068E+00
      5400     15 -0.1523147E-03  0.7071088E+00  0.7071048E+00
      5400     16 -0.1097036E-03  0.7071068E+00  0.7071068E+00
      5400     17 -0.1580390E-03  0.7071068E+00  0.7071068E+00
      5400     18 -0.1496806E-03  0.7071048E+00  0.7071088E+00
      5400     19 -0.1999419E-03  0.7071068E+00  0.7071068E+00
      5400     20 -0.3490876E-04  0.7071068E+00  0.7071068E+00
      5400     21 -0.1162244E-03  0.7071007E+00  0.7071128E+00
      5400     22 -0.4809673E-03  0.7071068E+00  0.7071066E+00
      5400     23  0.2680352E-03  0.7071068E+00  0.7071067E+00
      5400     24 -0.5185939E-04  0.7070967E+00  0.7071169E+00
      5400     25 -0.1180192E-02  0.7071068E+00  0.7071058E+00
      5400     26  0.7816920E-03  0.7071068E+00  0.7071063E+00
      5400     27  0.4350531E-04  0.7070924E+00  0.7071211E+00
      5400     28 -0.1671922E-02  0.7071068E+00  0.7071048E+00
      5400     29  0.1560010E-02  0.7071068E+00  0.7071051E+00
      5400     30  0.1699658E-03  0.7070881E+00  0.7071255E+00
      5400     31 -0.6873547E-04  0.7071068E+00  0.7071068E+00

      6000      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      6000      1 -0.1720502E-03  0.7071068E+00  0.7071068E+00
      6000      2  0.1982717E-02  0.7071068E+00  0.7071040E+00
      6000      3  0.1583869E-03  0.7071268E+00  0.7070868E+00
      6000      4  0.4770332E-03  0.7071068E+00  0.7071066E+00
      6000      5  0.1085780E-02  0.7071068E+00  0.7071059E+00
      6000      6  0.2557648E-04  0.7071221E+00  0.7070914E+00
      6000      7  0.1469270E-02  0.7071068E+00  0.7071053E+00
      6000      8  0.4247651E-03  0.7071068E+00  0.7071067E+00
      6000      9 -0.7339341E-04  0.7071176E+00  0.7070959E+00
      6000     10  0.3833483E-03  0.7071068E+00  0.7071067E+00
      6000     11  0.1694498E-04  0.7071068E+00  0.7071068E+00
      6000     12 -0.1384118E-03  0.7071132E+00  0.7071003E+00
      6000     13 -0.2815906E-03  0.7071068E+00  0.7071067E+00
      6000     14 -0.1610731E-03  0.7071068E+00  0.7071068E+00
      6000     15 -0.1693730E-03  0.7071089E+00  0.7071046E+00
      6000     16 -0.2795767E-03  0.7071068E+00  0.7071067E+00
      6000     17 -0.1347010E-03  0.7071068E+00  0.7071068E+00
      6000     18 -0.1661749E-03  0.7071046E+00  0.7071089E+00
      6000     19 -0.6447647E-04  0.7071068E+00  0.7071068E+00
      6000     20  0.7381577E-04  0.7071068E+00  0.7071068E+00
      6000     21 -0.1287170E-03  0.7071003E+00  0.7071132E+00
      6000     22 -0.6206806E-04  0.7071068E+00  0.7071068E+00
      6000     23  0.4386576E-03  0.7071068E+00  0.7071066E+00
      6000     24 -0.5689853E-04  0.7070959E+00  0.7071176E+00
      6000     25 -0.7261284E-03  0.7071068E+00  0.7071064E+00
      6000     26  0.9361463E-03  0.7071068E+00  0.7071062E+00
      6000     27  0.4938280E-04  0.7070914E+00  0.7071221E+00
      6000     28 -0.1810888E-02  0.7071068E+00  0.7071045E+00
      6000     29  0.1585778E-02  0.7071068E+00  0.7071050E+00
      6000     30  0.1902324E-03  0.7070868E+00  0.7071267E+00
      6000     31 -0.8179444E-03  0.7071068E+00  0.7071063E+00

      6600      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      6600      1 -0.1892552E-03  0.7071068E+00  0.7071068E+00
      6600      2  0.1817580E-02  0.7071068E+00  0.7071044E+00
      6600      3  0.1725628E-03  0.7071278E+00  0.7070857E+00
      6600      4  0.1108868E-02  0.7071068E+00  0.7071059E+00
      6600      5  0.9354002E-03  0.7071068E+00  0.7071062E+00
      6600      6  0.2692062E-04  0.7071230E+00  0.7070906E+00
      6600      7  0.1201690E-02  0.7071068E+00  0.7071058E+00
      6600      8  0.3554804E-03  0.7071068E+00  0.7071067E+00
      6600      9 -0.8154625E-04  0.7071182E+00  0.7070953E+00
      6600     10 -0.2896634E-03  0.7071068E+00  0.7071067E+00
      6600     11 -0.6953949E-05  0.7071068E+00  0.7071068E+00
      6600     12 -0.1527118E-03  0.7071136E+00  0.7070999E+00
      6600     13 -0.6923791E-03  0.7071068E+00  0.7071064E+00
      6600     14 -0.1781366E-03  0.7071068E+00  0.7071068E+00
      6600     15 -0.1864545E-03  0.7071091E+00  0.7071045E+00
      6600     16 -0.4026242E-03  0.7071068E+00  0.7071067E+00
      6600     17 -0.1472296E-03  0.7071068E+00  0.7071068E+00
      6600     18 -0.1826559E-03  0.7071045E+00  0.7071090E+00
      6600     19  0.2416545E-04  0.7071068E+00  0.7071068E+00
      6600     20  0.1068190E-03  0.7071068E+00  0.7071068E+00
      6600     21 -0.1411990E-03  0.7070999E+00  0.7071136E+00
      6600     22  0.3143390E-03  0.7071068E+00  0.7071067E+00
      6600     23  0.5952171E-03  0.7071068E+00  0.7071065E+00
      6600     24 -0.6196674E-04  0.7070953E+00  0.7071182E+00
      6600     25 -0.8743324E-04  0.7071068E+00  0.7071068E+00
      6600     26  0.1291690E-02  0.7071068E+00  0.7071056E+00
      6600     27  0.5516001E-04  0.7070906E+00  0.7071230E+00
      6600     28 -0.1577302E-02  0.7071068E+00  0.7071050E+00
      6600     29  0.2108495E-02  0.7071068E+00  0.7071036E+00
      6600     30  0.2103041E-03  0.7070858E+00  0.7071278E+00
      6600     31 -0.1483773E-02  0.7071068E+00  0.7071052E+00

      7200      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
      7200      1 -0.2064602E-03  0.7071068E+00  0.7071068E+00
      7200      2  0.1983405E-02  0.7071068E+00  0.7071040E+00
      7200      3  0.1870826E-03  0.7071286E+00  0.7070849E+00
      7200      4  0.1579169E-02  0.7071068E+00  0.7071050E+00
      7200      5  0.1224546E-02  0.7071068E+00  0.7071057E+00
      7200      6  0.2843974E-04  0.7071236E+00  0.7070899E+00
      7200      7  0.6149480E-03  0.7071068E+00  0.7071065E+00
      7200      8  0.5968131E-03  0.7071068E+00  0.7071065E+00
      7200      9 -0.8963536E-04  0.7071187E+00  0.7070948E+00
      7200     10 -0.9325964E-03  0.7071068E+00  0.7071062E+00
      7200     11  0.1213351E-03  0.7071068E+00  0.7071068E+00
      7200     12 -0.1670081E-03  0.7071139E+00  0.7070996E+00
      7200     13 -0.9030710E-03  0.7071068E+00  0.7071062E+00
      7200     14 -0.1531685E-03  0.7071068E+00  0.7071068E+00
      7200     15 -0.2035458E-03  0.7071092E+00  0.7071044E+00
      7200     16 -0.4323173E-03  0.7071068E+00  0.7071066E+00
      7200     17 -0.2017699E-03  0.7071068E+00  0.7071068E+00
      7200     18 -0.1991163E-03  0.7071044E+00  0.7071091E+00
      7200     19  0.1945462E-04  0.7071068E+00  0.7071068E+00
      7200     20 -0.1237307E-04  0.7071068E+00  0.7071068E+00
