#      N             NAME        S[cm]    BetaX[cm]        AlfaX    BetaY[cm]        AlfaY     DspX[cm]        DspXp     DspY[cm]        DspYp          NuX          NuY
       0            START         0.00      1936.75 -0.000251909      405.447 -0.000188151            0  -0.00050616            0            0            0            0
       1              OS2         6.00      1936.77  -0.00334988      405.538   -0.0149866  -0.00303696  -0.00050616            0            0  0.000493056   0.00235507
       2               QF        27.00      1892.96       2.0738      416.667    -0.519014   -0.0135908 -0.000497042            0            0   0.00223195    0.0105206
       3               BM       559.94      380.932     0.615966      1835.16     -2.14262      103.034     0.382228            0            0     0.106968     0.114828
       4               QD       580.94      366.065    0.0980168      1878.37     0.102763      112.417     0.513291            0            0     0.115962     0.116621
       5              OS1       592.94       364.11    0.0649208      1875.98    0.0963067      118.577     0.513291            0            0     0.121194     0.117638
       6               QD       613.94      371.966    -0.442188      1824.62      2.32872      130.923     0.665066            0            0     0.130319     0.119437
       7               BM      1146.88      1608.75     -1.75794      342.291     0.452681      569.663     0.960206            0            0     0.247467     0.237228
       8               QF      1167.88      1645.87    0.0037715      332.479    0.0181463      583.216     0.328017            0            0     0.249513      0.24718
       9              SF2      1179.88      1645.86  -0.00351959      332.477   -0.0179581      587.152     0.328017            0            0     0.250674     0.252926
      10               QF      1200.88      1608.73      1.75818      342.281    -0.452482      587.279    -0.315991            0            0      0.25272     0.262878
      11               BM      1733.82      371.872     0.442094      1824.27      -2.3283       481.77   -0.0748553            0            0     0.369886     0.380685
      12               QD      1754.82      364.018   -0.0649169      1875.63   -0.0963062      486.372     0.514083            0            0     0.379014     0.382485
      13               SD      1766.82      365.974   -0.0980211      1878.02    -0.102763      492.541     0.514083            0            0     0.384248     0.383502
      14               QD      1787.82      380.839    -0.615872      1834.82       2.1422      509.702      1.12376            0            0     0.393243     0.385295
      15               BM      2320.77      1892.94     -2.07404      416.657     0.518815      1157.83      1.27718            0            0     0.497995     0.489616
      16               QF      2341.77      1936.77   0.00309797      405.536    0.0147985      1171.27 -9.60785e-07            0            0     0.499734     0.497781
      17              SF1      2353.77      1936.77  -0.00309798      405.536   -0.0147985      1171.27 -9.60785e-07            0            0      0.50072     0.502491
      18               QF      2374.77      1892.94      2.07404      416.657    -0.518815      1157.83     -1.27718            0            0     0.502459     0.510657
      19               BM      2907.71      380.839     0.615872      1834.82      -2.1422      509.701     -1.12377            0            0     0.607211     0.614977
      20               QD      2928.71      365.974    0.0980211      1878.02     0.102763       492.54    -0.514086            0            0     0.616206      0.61677
      21               SD      2940.71      364.018    0.0649169      1875.63    0.0963062      486.371    -0.514086            0            0      0.62144     0.617788
      22               QD      2961.71      371.872    -0.442094      1824.27       2.3283      481.769    0.0748508            0            0     0.630567     0.619587
      23               BM      3494.65      1608.73     -1.75818      342.281     0.452482      587.275     0.315987            0            0     0.747734     0.737394
      24               QF      3515.65      1645.86    0.0035196      332.477    0.0179581      587.149    -0.328017            0            0      0.74978     0.747346
      25              SF2      3527.65      1645.87  -0.00377149      332.479   -0.0181463      583.212    -0.328017            0            0      0.75094     0.753092
      26               QF      3548.65      1608.75      1.75794      342.291    -0.452681       569.66    -0.960203            0            0     0.752987     0.763044
      27               BM      4081.59      371.966     0.442188      1824.62     -2.32872      130.922    -0.665062            0            0     0.870134     0.880835
      28               QD      4102.59       364.11   -0.0649208      1875.98   -0.0963067      118.576    -0.513288            0            0      0.87926     0.882634
      29              OS1      4114.59      366.065   -0.0980168      1878.37    -0.102763      112.416    -0.513288            0            0     0.884492     0.883652
      30               QD      4135.59      380.932    -0.615966      1835.16      2.14262      103.033    -0.382226            0            0     0.893485     0.885444
      31               BM      4668.53      1892.96      -2.0738      416.667     0.519014   -0.0136372  0.000498935            0            0     0.998222     0.989752
      32               QF      4689.53      1936.77   0.00334988      405.538    0.0149866  -0.00304319  0.000508082            0            0     0.999961     0.997917
      33              OS2      4695.53      1936.75  0.000251901      405.447   0.00018815  5.30399e-06  0.000508082            0            0      1.00045      1.00027
      34              OS2      4701.53      1936.77  -0.00284607      405.534   -0.0146103   0.00305379  0.000508082            0            0      1.00095      1.00263
      35              QF1      4722.53      1889.96      2.21355       417.29    -0.549783    0.0136425  0.000498304            0            0      1.00269      1.01079
      36              OBM      5255.47      417.205     0.549887      1889.67     -2.21297     0.279209  0.000498304            0            0      1.10514      1.11324
      37              QD1      5276.47      405.442    0.0148007      1936.46   0.00309835      0.29315  0.000832123            0            0       1.1133      1.11498
      38              OS1      5288.47      405.442    -0.014803      1936.46  -0.00309857     0.303136  0.000832123            0            0      1.11801      1.11596
      39              QD1      5309.47      417.205    -0.549889      1889.67      2.21297      0.32441   0.00119813            0            0      1.12618       1.1177
      40              OBM      5842.41      1889.96     -2.21356       417.29     0.549783     0.962942   0.00119813            0            0      1.22863      1.22015
      41              QF1      5863.41      1936.77   0.00284578      405.534    0.0146103     0.976206  6.25164e-05            0            0      1.23037      1.22831
      42              OS2      5869.41      1936.75 -0.000252185      405.447 -0.000188177     0.976581  6.25164e-05            0            0      1.23086      1.23067
      43              OS2      5875.41      1936.78  -0.00335015      405.538   -0.0149867     0.976956  6.25164e-05            0            0      1.23135      1.23302
      44               QF      5896.41      1892.96      2.07381      416.667    -0.519014     0.967057   -0.0010035            0            0      1.23309      1.24119
      45               BM      6429.36      380.933     0.615968      1835.16     -2.14262      103.677     0.381484            0            0      1.33783       1.3455
      46               QD      6450.36      366.065    0.0980191      1878.37     0.102763      113.053     0.513324            0            0      1.34682      1.34729
      47              OS1      6462.36       364.11    0.0649231      1875.98    0.0963069      119.213     0.513324            0            0      1.35205      1.34831
      48               QD      6483.36      371.966    -0.442186      1824.62      2.32872      131.568     0.665878            0            0      1.36118      1.35011
      49               BM      7016.30      1608.74     -1.75794      342.291     0.452681      570.681     0.960775            0            0      1.47833       1.4679
      50               QF      7037.30      1645.86   0.00377178      332.479    0.0181463      584.234     0.327469            0            0      1.48037      1.47785
      51              SF2      7049.30      1645.86  -0.00351933      332.477   -0.0179581      588.163     0.327469            0            0      1.48153      1.48359
      52               QF      7070.30      1608.73      1.75817      342.281    -0.452482      588.267    -0.317634            0            0      1.48358      1.49355
